Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Dummy Regressor,2.15,6.5866,2.5654,-0.0072,0.7623,0.7367,0.019,"(1, 2, 4)"
Passive Aggressive Regressor,2.5129,10.5823,3.2073,-0.6148,0.9699,0.7808,0.02,"(1, 2, 4)"
Least Angle Regression,28434.695,6340028623.355,38737.144,-1049243789.5437,6.1027,12144.8529,0.02,"(1, 2, 4)"
K Neighbors Regressor,0.3398,0.3755,0.6007,0.9407,0.2153,0.1119,0.019,"(1, 2, 5)"
Extra Trees Regressor,1.1211,2.3421,1.5232,0.6314,0.4925,0.3378,0.197,"(1, 2, 5)"
Random Forest Regressor,1.1555,2.4927,1.5718,0.6071,0.5118,0.334,0.582,"(1, 2, 5)"
Light Gradient Boosting Machine,1.1822,2.6047,1.6069,0.5894,0.5126,0.3643,0.147,"(1, 2, 5)"
Gradient Boosting Regressor,1.3444,3.1134,1.7582,0.5083,0.5577,0.4102,0.478,"(1, 2, 5)"
Decision Tree Regressor,1.4246,5.291,2.286,0.1658,0.6833,0.4652,0.029,"(1, 2, 5)"
Linear Regression,1.7734,4.9938,2.2313,0.2098,0.6617,0.5731,0.02,"(1, 2, 5)"
Ridge Regression,1.8674,5.3594,2.3133,0.1519,0.6865,0.5942,0.018,"(1, 2, 5)"
Bayesian Ridge,1.8881,5.448,2.3327,0.1384,0.6907,0.6039,0.026,"(1, 2, 5)"
AdaBoost Regressor,1.899,5.188,2.2755,0.181,0.7006,0.6736,0.132,"(1, 2, 5)"
Huber Regressor,2.0666,6.467,2.5415,-0.0202,0.71,0.6436,0.02,"(1, 2, 5)"
Orthogonal Matching Pursuit,2.0728,6.1991,2.4885,0.0217,0.7244,0.7168,0.018,"(1, 2, 5)"
Elastic Net,2.0777,6.2317,2.4951,0.0166,0.7268,0.7186,0.022,"(1, 2, 5)"
Lasso Regression,2.08,6.2474,2.4982,0.0141,0.7273,0.7193,0.018,"(1, 2, 5)"
Lasso Least Angle Regression,2.08,6.2474,2.4982,0.0141,0.7273,0.7193,0.021,"(1, 2, 5)"
Dummy Regressor,2.1139,6.3845,2.5254,-0.0072,0.7312,0.7311,0.025,"(1, 2, 5)"
Passive Aggressive Regressor,2.3062,7.6719,2.754,-0.2028,0.7896,0.8639,0.021,"(1, 2, 5)"
Least Angle Regression,1206.4937,18635401.5488,1620.2178,-2719161.0516,2.9178,522.437,0.02,"(1, 2, 5)"
K Neighbors Regressor,0.2933,0.2594,0.506,0.9541,0.1859,0.1123,0.023,"(1, 2, 6)"
Random Forest Regressor,0.8673,1.5124,1.2243,0.7356,0.423,0.2785,0.615,"(1, 2, 6)"
Decision Tree Regressor,0.9308,2.9866,1.718,0.4757,0.535,0.3365,0.029,"(1, 2, 6)"
Light Gradient Boosting Machine,0.9366,1.7112,1.3043,0.7004,0.4432,0.3169,0.15,"(1, 2, 6)"
Extra Trees Regressor,0.9664,1.7507,1.318,0.6933,0.4523,0.3227,0.201,"(1, 2, 6)"
Gradient Boosting Regressor,1.173,2.3769,1.5378,0.5845,0.5191,0.3877,0.502,"(1, 2, 6)"
Linear Regression,1.5991,4.1765,2.0409,0.2693,0.6338,0.5682,0.031,"(1, 2, 6)"
Ridge Regression,1.7057,4.5686,2.1345,0.2013,0.6624,0.5896,0.025,"(1, 2, 6)"
Bayesian Ridge,1.7134,4.5889,2.1393,0.1976,0.6631,0.5929,0.024,"(1, 2, 6)"
AdaBoost Regressor,1.7941,4.5586,2.1321,0.2024,0.6978,0.6696,0.111,"(1, 2, 6)"
Orthogonal Matching Pursuit,1.91,5.3703,2.3144,0.0598,0.7032,0.6951,0.023,"(1, 2, 6)"
Elastic Net,1.9227,5.3979,2.3205,0.0557,0.7089,0.6936,0.022,"(1, 2, 6)"
Lasso Regression,1.938,5.4686,2.3357,0.0438,0.716,0.6952,0.023,"(1, 2, 6)"
Lasso Least Angle Regression,1.938,5.4686,2.3357,0.0438,0.716,0.6952,0.023,"(1, 2, 6)"
Huber Regressor,1.9672,5.8904,2.4234,-0.0286,0.7058,0.6281,0.026,"(1, 2, 6)"
Dummy Regressor,2.0075,5.7712,2.3993,-0.0085,0.7347,0.7295,0.025,"(1, 2, 6)"
Passive Aggressive Regressor,2.1663,7.7143,2.7555,-0.3564,0.8095,0.7007,0.021,"(1, 2, 6)"
Least Angle Regression,46689.8023,32858456155.8593,70602.3446,-5661985170.1184,4.2776,20870.8666,0.026,"(1, 2, 6)"
K Neighbors Regressor,0.3242,0.3515,0.586,0.9444,0.2108,0.1166,0.027,"(1, 2, 8)"
Random Forest Regressor,0.9657,1.8428,1.3539,0.7077,0.4584,0.2838,0.604,"(1, 2, 8)"
Decision Tree Regressor,0.976,3.3389,1.8173,0.4655,0.5421,0.3547,0.031,"(1, 2, 8)"
Extra Trees Regressor,1.0505,2.0429,1.4261,0.6756,0.4817,0.3222,0.201,"(1, 2, 8)"
Light Gradient Boosting Machine,1.0507,2.0682,1.4353,0.6706,0.4788,0.3424,0.15,"(1, 2, 8)"
Gradient Boosting Regressor,1.3336,2.9909,1.7277,0.5264,0.5672,0.4114,0.499,"(1, 2, 8)"
Linear Regression,1.7571,4.9715,2.2272,0.2107,0.6728,0.571,0.028,"(1, 2, 8)"
Ridge Regression,1.8258,5.2088,2.2804,0.1733,0.6923,0.5772,0.027,"(1, 2, 8)"
Bayesian Ridge,1.8365,5.2309,2.2851,0.1704,0.6951,0.579,0.027,"(1, 2, 8)"
AdaBoost Regressor,1.9034,5.1365,2.2632,0.1882,0.731,0.645,0.138,"(1, 2, 8)"
Orthogonal Matching Pursuit,1.9955,5.8596,2.4181,0.0732,0.7325,0.6354,0.026,"(1, 2, 8)"
Elastic Net,2.007,5.8863,2.4233,0.0695,0.7376,0.6368,0.027,"(1, 2, 8)"
Lasso Regression,2.0245,5.9588,2.438,0.0584,0.7438,0.6418,0.029,"(1, 2, 8)"
Lasso Least Angle Regression,2.0245,5.9588,2.438,0.0584,0.7438,0.6418,0.029,"(1, 2, 8)"
Huber Regressor,2.0736,6.5089,2.5464,-0.0255,0.7381,0.6077,0.027,"(1, 2, 8)"
Dummy Regressor,2.099,6.3805,2.5216,-0.0055,0.763,0.6831,0.031,"(1, 2, 8)"
Passive Aggressive Regressor,3.0552,13.4923,3.5823,-1.191,0.9524,1.2863,0.026,"(1, 2, 8)"
Least Angle Regression,7246.0274,875749611.7034,9606.2363,-158668781.1264,3.1938,3305.6477,0.028,"(1, 2, 8)"
K Neighbors Regressor,0.3285,0.3501,0.5897,0.9418,0.2084,0.1162,0.029,"(1, 2, 9)"
Random Forest Regressor,0.9801,1.9937,1.4094,0.6701,0.4581,0.2951,0.559,"(1, 2, 9)"
Extra Trees Regressor,1.025,2.0801,1.4397,0.655,0.4647,0.3207,0.189,"(1, 2, 9)"
Light Gradient Boosting Machine,1.0519,2.229,1.4902,0.6303,0.4777,0.3454,0.15,"(1, 2, 9)"
Decision Tree Regressor,1.1391,4.1149,2.0215,0.3126,0.5936,0.3983,0.035,"(1, 2, 9)"
Gradient Boosting Regressor,1.2025,2.6053,1.6122,0.5688,0.5224,0.3936,0.47,"(1, 2, 9)"
Linear Regression,1.623,4.3437,2.0814,0.2801,0.6285,0.57,0.032,"(1, 2, 9)"
Ridge Regression,1.7166,4.7204,2.1694,0.2194,0.6616,0.5776,0.029,"(1, 2, 9)"
Bayesian Ridge,1.7297,4.7694,2.1807,0.2114,0.6645,0.5818,0.03,"(1, 2, 9)"
AdaBoost Regressor,1.8261,4.7268,2.1726,0.2175,0.7035,0.688,0.165,"(1, 2, 9)"
Orthogonal Matching Pursuit,1.9158,5.5027,2.3443,0.0887,0.7019,0.6721,0.03,"(1, 2, 9)"
Elastic Net,1.927,5.5303,2.3503,0.0843,0.7066,0.6678,0.031,"(1, 2, 9)"
Lasso Regression,1.9427,5.5959,2.3643,0.0735,0.713,0.6689,0.031,"(1, 2, 9)"
Lasso Least Angle Regression,1.9427,5.5959,2.3643,0.0735,0.713,0.6689,0.03,"(1, 2, 9)"
Huber Regressor,1.9875,6.1403,2.4767,-0.0165,0.7148,0.6169,0.03,"(1, 2, 9)"
Dummy Regressor,2.049,6.0956,2.4677,-0.0088,0.742,0.729,0.033,"(1, 2, 9)"
Passive Aggressive Regressor,3.8115,20.5707,4.4593,-2.4266,1.1766,1.7439,0.031,"(1, 2, 9)"
Least Angle Regression,137528.4222,539448492909.138,255292.8412,-89816668651.1497,6.1292,58293.4814,0.03,"(1, 2, 9)"
K Neighbors Regressor,0.3217,0.3498,0.5863,0.9469,0.2154,0.1074,0.034,"(1, 2, 10)"
Extra Trees Regressor,1.0907,2.2306,1.4917,0.6598,0.4884,0.3284,0.192,"(1, 2, 10)"
Random Forest Regressor,1.1421,2.4353,1.5564,0.63,0.5045,0.3354,0.568,"(1, 2, 10)"
Light Gradient Boosting Machine,1.1473,2.4755,1.5692,0.6236,0.5081,0.3602,0.15,"(1, 2, 10)"
Gradient Boosting Regressor,1.301,2.8638,1.6908,0.5626,0.5516,0.4005,0.466,"(1, 2, 10)"
Decision Tree Regressor,1.321,4.9573,2.2064,0.2459,0.6717,0.4484,0.035,"(1, 2, 10)"
Linear Regression,1.6778,4.6313,2.1486,0.2981,0.6485,0.5614,0.035,"(1, 2, 10)"
Ridge Regression,1.8053,5.0875,2.2508,0.2298,0.6768,0.5968,0.033,"(1, 2, 10)"
Bayesian Ridge,1.8253,5.1466,2.2639,0.2204,0.6804,0.6076,0.034,"(1, 2, 10)"
AdaBoost Regressor,2.0018,5.4417,2.3311,0.171,0.7451,0.7817,0.157,"(1, 2, 10)"
Orthogonal Matching Pursuit,2.086,6.1916,2.4838,0.0615,0.7345,0.7392,0.032,"(1, 2, 10)"
Elastic Net,2.1038,6.2197,2.4894,0.0575,0.7398,0.7455,0.034,"(1, 2, 10)"
Lasso Regression,2.1246,6.2931,2.504,0.0465,0.7461,0.7543,0.033,"(1, 2, 10)"
Lasso Least Angle Regression,2.1246,6.2931,2.504,0.0465,0.7461,0.7543,0.033,"(1, 2, 10)"
Huber Regressor,2.154,6.7556,2.5937,-0.0222,0.7338,0.6884,0.032,"(1, 2, 10)"
Dummy Regressor,2.1926,6.6364,2.5721,-0.0059,0.7621,0.7953,0.036,"(1, 2, 10)"
Passive Aggressive Regressor,3.4358,17.2723,3.9338,-1.6196,1.0557,1.6248,0.035,"(1, 2, 10)"
Least Angle Regression,61894.2948,41114202992.6131,82682.5945,-5996366245.5818,6.0544,27270.5993,0.033,"(1, 2, 10)"
K Neighbors Regressor,0.3196,0.3466,0.585,0.9471,0.214,0.1168,0.035,"(1, 2, 12)"
Decision Tree Regressor,0.9588,3.3339,1.8133,0.4884,0.543,0.3316,0.04,"(1, 2, 12)"
Random Forest Regressor,0.9778,1.9781,1.4026,0.6978,0.46,0.2974,0.561,"(1, 2, 12)"
Light Gradient Boosting Machine,1.0284,2.1249,1.4541,0.6751,0.4757,0.3398,0.153,"(1, 2, 12)"
Extra Trees Regressor,1.0375,2.0969,1.4446,0.68,0.4788,0.3317,0.199,"(1, 2, 12)"
Gradient Boosting Regressor,1.2982,2.9509,1.7161,0.5491,0.5577,0.4157,0.475,"(1, 2, 12)"
Linear Regression,1.731,4.8908,2.2088,0.2534,0.6719,0.6077,0.036,"(1, 2, 12)"
Ridge Regression,1.8412,5.2363,2.2868,0.2,0.697,0.6398,0.038,"(1, 2, 12)"
Bayesian Ridge,1.854,5.2634,2.2926,0.1959,0.6987,0.6437,0.037,"(1, 2, 12)"
AdaBoost Regressor,1.9256,5.1778,2.2731,0.2088,0.7423,0.7483,0.145,"(1, 2, 12)"
Orthogonal Matching Pursuit,2.0366,6.1147,2.4707,0.0668,0.7386,0.7183,0.036,"(1, 2, 12)"
Elastic Net,2.0507,6.1404,2.4763,0.0627,0.7433,0.7201,0.037,"(1, 2, 12)"
Lasso Regression,2.0681,6.2085,2.4903,0.0521,0.7494,0.7248,0.038,"(1, 2, 12)"
Lasso Least Angle Regression,2.0681,6.2085,2.4903,0.0521,0.7494,0.7248,0.037,"(1, 2, 12)"
Huber Regressor,2.0686,6.9214,2.6296,-0.0566,0.7281,0.6147,0.035,"(1, 2, 12)"
Dummy Regressor,2.1416,6.5832,2.565,-0.0052,0.768,0.766,0.041,"(1, 2, 12)"
Passive Aggressive Regressor,2.6015,12.1863,3.4663,-0.8637,1.0852,0.8482,0.036,"(1, 2, 12)"
Least Angle Regression,17177.3082,6326719081.4277,25780.9627,-1006352559.4779,2.824,8933.6408,0.039,"(1, 2, 12)"
K Neighbors Regressor,0.2828,0.2915,0.5342,0.9522,0.1985,0.1066,0.041,"(1, 2, 13)"
Random Forest Regressor,0.9801,1.9128,1.3794,0.6875,0.4683,0.3067,0.602,"(1, 2, 13)"
Extra Trees Regressor,0.9946,1.9004,1.3761,0.6883,0.4705,0.3233,0.201,"(1, 2, 13)"
Light Gradient Boosting Machine,1.0161,2.01,1.4152,0.6707,0.4781,0.349,0.153,"(1, 2, 13)"
Decision Tree Regressor,1.1608,4.3454,2.067,0.2864,0.6529,0.3877,0.049,"(1, 2, 13)"
Gradient Boosting Regressor,1.2526,2.7427,1.6527,0.5519,0.5513,0.4137,0.494,"(1, 2, 13)"
Linear Regression,1.6541,4.5406,2.1294,0.2598,0.6483,0.5861,0.04,"(1, 2, 13)"
Ridge Regression,1.7583,4.9242,2.2178,0.1977,0.6782,0.6025,0.041,"(1, 2, 13)"
Bayesian Ridge,1.7721,4.9585,2.2255,0.1922,0.681,0.6067,0.041,"(1, 2, 13)"
AdaBoost Regressor,1.8308,4.6964,2.1666,0.2331,0.7107,0.6926,0.147,"(1, 2, 13)"
Orthogonal Matching Pursuit,1.9758,5.7024,2.3855,0.0726,0.721,0.7171,0.041,"(1, 2, 13)"
Elastic Net,1.9865,5.7286,2.3908,0.0687,0.7253,0.7157,0.04,"(1, 2, 13)"
Lasso Regression,2.0014,5.7961,2.4047,0.0579,0.7312,0.7182,0.041,"(1, 2, 13)"
Lasso Least Angle Regression,2.0014,5.7961,2.4047,0.0579,0.7312,0.7182,0.041,"(1, 2, 13)"
Huber Regressor,2.0215,6.3682,2.5211,-0.036,0.7169,0.628,0.04,"(1, 2, 13)"
Dummy Regressor,2.0739,6.162,2.4805,-0.0028,0.7491,0.7534,0.043,"(1, 2, 13)"
Passive Aggressive Regressor,2.5,10.5506,3.2156,-0.7197,0.9858,0.8898,0.041,"(1, 2, 13)"
Least Angle Regression,6.717421615750862e+82,7.536228197569068e+166,8.681145199551191e+82,-1.4736593065190162e+166,25.14,2.9844250661751352e+82,0.043,"(1, 2, 13)"
K Neighbors Regressor,0.3122,0.3549,0.5902,0.943,0.2104,0.1058,0.044,"(1, 2, 15)"
Random Forest Regressor,0.9903,1.996,1.4105,0.6822,0.4717,0.2966,0.554,"(1, 2, 15)"
Extra Trees Regressor,1.0254,2.0568,1.4322,0.6726,0.4805,0.3133,0.197,"(1, 2, 15)"
Light Gradient Boosting Machine,1.0259,2.0806,1.4378,0.6684,0.4836,0.3282,0.154,"(1, 2, 15)"
Decision Tree Regressor,1.1125,3.8024,1.9453,0.3925,0.5971,0.4265,0.049,"(1, 2, 15)"
Gradient Boosting Regressor,1.1963,2.5875,1.607,0.5869,0.5315,0.3832,0.468,"(1, 2, 15)"
Linear Regression,1.653,4.5712,2.1371,0.2715,0.6482,0.5677,0.044,"(1, 2, 15)"
Ridge Regression,1.7685,4.9066,2.2136,0.2189,0.6718,0.6007,0.045,"(1, 2, 15)"
Bayesian Ridge,1.7857,4.9424,2.2216,0.2134,0.6742,0.6084,0.042,"(1, 2, 15)"
AdaBoost Regressor,1.8338,4.7891,2.1874,0.2387,0.7093,0.69,0.117,"(1, 2, 15)"
Orthogonal Matching Pursuit,1.9671,5.722,2.3898,0.092,0.7157,0.7025,0.044,"(1, 2, 15)"
Elastic Net,1.9768,5.7378,2.3931,0.0896,0.7202,0.7015,0.044,"(1, 2, 15)"
Lasso Regression,1.9865,5.7781,2.4015,0.0833,0.7243,0.7029,0.043,"(1, 2, 15)"
Lasso Least Angle Regression,1.9865,5.7781,2.4015,0.0833,0.7243,0.7029,0.044,"(1, 2, 15)"
Huber Regressor,2.0532,6.4891,2.5455,-0.0305,0.7241,0.6432,0.046,"(1, 2, 15)"
Dummy Regressor,2.0916,6.3279,2.5139,-0.0044,0.7511,0.7545,0.046,"(1, 2, 15)"
Passive Aggressive Regressor,2.5527,9.5838,3.0758,-0.5376,0.8634,1.0328,0.042,"(1, 2, 15)"
Least Angle Regression,5.80403071291543e+154,inf,inf,-inf,39.3615,2.405138326246406e+154,0.045,"(1, 2, 15)"
K Neighbors Regressor,0.3047,0.339,0.5717,0.9452,0.2063,0.1071,0.048,"(1, 2, 16)"
Decision Tree Regressor,0.8924,2.9252,1.6905,0.5244,0.5291,0.3226,0.052,"(1, 2, 16)"
Random Forest Regressor,0.9313,1.7078,1.2999,0.7218,0.4396,0.2877,0.615,"(1, 2, 16)"
Extra Trees Regressor,0.9589,1.7384,1.3117,0.7162,0.449,0.311,0.204,"(1, 2, 16)"
Light Gradient Boosting Machine,0.9833,1.8621,1.3539,0.6969,0.4582,0.3194,0.154,"(1, 2, 16)"
Gradient Boosting Regressor,1.1553,2.3408,1.5233,0.6182,0.5092,0.3777,0.503,"(1, 2, 16)"
Linear Regression,1.6401,4.4289,2.1001,0.2735,0.6396,0.5747,0.045,"(1, 2, 16)"
Ridge Regression,1.7446,4.7694,2.1804,0.2171,0.6634,0.6052,0.048,"(1, 2, 16)"
Bayesian Ridge,1.7553,4.8082,2.1892,0.211,0.666,0.608,0.045,"(1, 2, 16)"
AdaBoost Regressor,1.8331,4.717,2.1702,0.2236,0.7009,0.7124,0.143,"(1, 2, 16)"
Orthogonal Matching Pursuit,1.9495,5.62,2.3671,0.0775,0.7075,0.6956,0.048,"(1, 2, 16)"
Elastic Net,1.9629,5.6472,2.373,0.0733,0.7125,0.698,0.049,"(1, 2, 16)"
Lasso Regression,1.9812,5.7145,2.3872,0.0624,0.7187,0.7039,0.048,"(1, 2, 16)"
Lasso Least Angle Regression,1.9812,5.7145,2.3872,0.0624,0.7187,0.7039,0.048,"(1, 2, 16)"
Huber Regressor,2.0291,6.3257,2.5116,-0.0379,0.7098,0.6378,0.049,"(1, 2, 16)"
Dummy Regressor,2.0672,6.1466,2.4764,-0.0085,0.7384,0.7564,0.05,"(1, 2, 16)"
Passive Aggressive Regressor,2.3562,8.7239,2.9276,-0.4314,0.85,0.8383,0.048,"(1, 2, 16)"
Least Angle Regression,1310357.4315,19166053272822.3,2101040.5819,-3659290073281.6343,6.7911,675193.2949,0.05,"(1, 2, 16)"
K Neighbors Regressor,0.3194,0.3642,0.5997,0.9432,0.2171,0.1093,0.049,"(1, 2, 17)"
Random Forest Regressor,0.8696,1.6576,1.2732,0.7459,0.4266,0.2601,0.546,"(1, 2, 17)"
Decision Tree Regressor,0.9453,3.1928,1.7691,0.5081,0.5266,0.3423,0.055,"(1, 2, 17)"
Extra Trees Regressor,0.9747,1.8903,1.3595,0.7099,0.4532,0.3046,0.196,"(1, 2, 17)"
Light Gradient Boosting Machine,1.0008,2.0028,1.3977,0.6922,0.4643,0.321,0.156,"(1, 2, 17)"
Gradient Boosting Regressor,1.2112,2.5744,1.5957,0.6021,0.5332,0.379,0.483,"(1, 2, 17)"
Linear Regression,1.6831,4.5841,2.1351,0.2884,0.6513,0.5811,0.049,"(1, 2, 17)"
Ridge Regression,1.8052,5.0169,2.2344,0.2209,0.6803,0.6136,0.048,"(1, 2, 17)"
Bayesian Ridge,1.816,5.0607,2.2444,0.2144,0.6828,0.6156,0.05,"(1, 2, 17)"
AdaBoost Regressor,1.8537,4.8157,2.1884,0.2528,0.7087,0.6881,0.125,"(1, 2, 17)"
Orthogonal Matching Pursuit,2.0278,5.8984,2.425,0.0832,0.7278,0.7192,0.052,"(1, 2, 17)"
Elastic Net,2.0378,5.922,2.4297,0.08,0.7324,0.717,0.051,"(1, 2, 17)"
Lasso Regression,2.0527,5.9848,2.4424,0.0706,0.7385,0.7194,0.049,"(1, 2, 17)"
Lasso Least Angle Regression,2.0527,5.9848,2.4424,0.0706,0.7385,0.7194,0.051,"(1, 2, 17)"
Huber Regressor,2.1341,6.795,2.6022,-0.0543,0.7345,0.6589,0.051,"(1, 2, 17)"
Dummy Regressor,2.1526,6.4667,2.5394,-0.0043,0.7641,0.7732,0.054,"(1, 2, 17)"
Passive Aggressive Regressor,2.3731,8.7782,2.9327,-0.3838,0.8966,0.8233,0.052,"(1, 2, 17)"
Least Angle Regression,987.0393,32104379.1326,1931.6006,-4947508.8091,2.4223,394.9579,0.052,"(1, 2, 17)"
K Neighbors Regressor,0.3061,0.3144,0.5572,0.9464,0.2026,0.1056,0.052,"(1, 3, 4)"
Decision Tree Regressor,0.9231,3.165,1.7729,0.4559,0.5439,0.3175,0.06,"(1, 3, 4)"
Random Forest Regressor,0.9619,1.8714,1.3581,0.682,0.4599,0.2806,0.641,"(1, 3, 4)"
Extra Trees Regressor,1.0121,1.9691,1.3944,0.6645,0.4688,0.2991,0.215,"(1, 3, 4)"
Light Gradient Boosting Machine,1.021,2.0407,1.4211,0.6523,0.4764,0.3216,0.162,"(1, 3, 4)"
Gradient Boosting Regressor,1.2618,2.7618,1.6554,0.529,0.5499,0.386,0.516,"(1, 3, 4)"
Linear Regression,1.6876,4.5887,2.1352,0.2157,0.655,0.5499,0.054,"(1, 3, 4)"
Ridge Regression,1.7834,4.9314,2.2149,0.1562,0.6776,0.5837,0.052,"(1, 3, 4)"
Bayesian Ridge,1.8111,5.0185,2.2353,0.1405,0.6834,0.6007,0.054,"(1, 3, 4)"
AdaBoost Regressor,1.8686,4.9862,2.2307,0.1428,0.7227,0.6855,0.161,"(1, 3, 4)"
Orthogonal Matching Pursuit,1.919,5.4881,2.3376,0.0604,0.7109,0.6523,0.054,"(1, 3, 4)"
Elastic Net,1.9313,5.5154,2.3437,0.0558,0.7159,0.6543,0.053,"(1, 3, 4)"
Lasso Regression,1.9474,5.5864,2.3589,0.0437,0.7222,0.6587,0.054,"(1, 3, 4)"
Lasso Least Angle Regression,1.9474,5.5864,2.3589,0.0437,0.7222,0.6587,0.054,"(1, 3, 4)"
Huber Regressor,1.9713,5.9255,2.4294,-0.014,0.7156,0.617,0.053,"(1, 3, 4)"
Dummy Regressor,1.9979,5.849,2.4151,-0.003,0.7339,0.6975,0.056,"(1, 3, 4)"
Passive Aggressive Regressor,2.8217,12.1307,3.3415,-1.159,0.9307,1.1608,0.054,"(1, 3, 4)"
Least Angle Regression,160.4182,201870.8383,234.5048,-37383.3235,2.7188,75.1393,0.056,"(1, 3, 4)"
K Neighbors Regressor,0.3106,0.3334,0.5744,0.9403,0.2074,0.1061,0.058,"(1, 3, 5)"
Extra Trees Regressor,1.0229,1.9864,1.4039,0.644,0.4735,0.3035,0.212,"(1, 3, 5)"
Random Forest Regressor,1.0432,2.0875,1.4419,0.6249,0.4865,0.2996,0.622,"(1, 3, 5)"
Light Gradient Boosting Machine,1.0592,2.1232,1.4551,0.6173,0.4867,0.3309,0.161,"(1, 3, 5)"
Decision Tree Regressor,1.1325,3.706,1.9143,0.3308,0.5983,0.374,0.06,"(1, 3, 5)"
Gradient Boosting Regressor,1.2806,2.8826,1.6935,0.4821,0.5535,0.3851,0.515,"(1, 3, 5)"
Linear Regression,1.7,4.5948,2.1395,0.1754,0.6552,0.5472,0.056,"(1, 3, 5)"
Ridge Regression,1.7898,4.9595,2.2242,0.1086,0.6783,0.5729,0.055,"(1, 3, 5)"
AdaBoost Regressor,1.8199,4.7898,2.1871,0.1378,0.6952,0.668,0.152,"(1, 3, 5)"
Bayesian Ridge,1.8425,5.1116,2.2583,0.0811,0.6856,0.6075,0.058,"(1, 3, 5)"
Orthogonal Matching Pursuit,1.9353,5.4899,2.3401,0.0148,0.7018,0.6634,0.058,"(1, 3, 5)"
