Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Gradient Boosting Regressor,1.3731,3.3383,1.8248,0.4355,0.5652,0.4434,0.258,"(1, 2, 9)"
Linear Regression,1.5803,4.1735,2.0412,0.2962,0.6182,0.5769,0.03,"(1, 2, 9)"
Decision Tree Regressor,1.6075,6.0593,2.4573,-0.0239,0.7154,0.6094,0.04,"(1, 2, 9)"
Ridge Regression,1.7102,4.6972,2.1654,0.2076,0.6594,0.5939,0.033,"(1, 2, 9)"
Bayesian Ridge,1.7229,4.741,2.1754,0.2005,0.6629,0.5977,0.032,"(1, 2, 9)"
Huber Regressor,1.844,5.4667,2.3361,0.0798,0.6796,0.6002,0.04,"(1, 2, 9)"
AdaBoost Regressor,1.8847,4.9601,2.2258,0.1645,0.7217,0.7423,0.112,"(1, 2, 9)"
Orthogonal Matching Pursuit,1.9072,5.4449,2.3322,0.0829,0.6986,0.6824,0.034,"(1, 2, 9)"
Elastic Net,1.9293,5.5168,2.3472,0.0721,0.7082,0.6884,0.034,"(1, 2, 9)"
Lasso Regression,1.9459,5.5819,2.3608,0.0617,0.7139,0.6932,0.036,"(1, 2, 9)"
Lasso Least Angle Regression,1.9459,5.5819,2.3608,0.0617,0.7139,0.6932,0.03,"(1, 2, 9)"
K Neighbors Regressor,1.9766,6.2005,2.4844,-0.0402,0.7342,0.7092,0.028,"(1, 2, 9)"
Dummy Regressor,2.0456,6.0542,2.4573,-0.0149,0.7388,0.7514,0.033,"(1, 2, 9)"
Passive Aggressive Regressor,3.0439,16.4146,3.7361,-1.7546,0.9241,1.329,0.032,"(1, 2, 9)"
Least Angle Regression,4887.955,412437566.8974,6582.0944,-60276520.6215,3.2482,2388.882,0.033,"(1, 2, 9)"
Extra Trees Regressor,1.222,2.7052,1.6397,0.6002,0.5223,0.377,0.142,"(1, 2, 10)"
Light Gradient Boosting Machine,1.3079,3.0918,1.7523,0.5418,0.5445,0.4218,0.098,"(1, 2, 10)"
Random Forest Regressor,1.3634,3.301,1.8117,0.5119,0.5601,0.4209,0.392,"(1, 2, 10)"
Gradient Boosting Regressor,1.4632,3.6426,1.9021,0.4596,0.5847,0.4623,0.267,"(1, 2, 10)"
Decision Tree Regressor,1.6965,6.4294,2.5224,0.0365,0.7349,0.6012,0.045,"(1, 2, 10)"
Linear Regression,1.7076,4.7431,2.1691,0.3,0.6564,0.5757,0.031,"(1, 2, 10)"
Ridge Regression,1.8076,5.1325,2.2609,0.2384,0.6801,0.5941,0.034,"(1, 2, 10)"
Bayesian Ridge,1.8158,5.1603,2.2671,0.2343,0.6818,0.5956,0.032,"(1, 2, 10)"
Huber Regressor,1.9741,6.0173,2.4495,0.1075,0.7093,0.6136,0.049,"(1, 2, 10)"
AdaBoost Regressor,1.9898,5.4428,2.33,0.1921,0.7346,0.7314,0.102,"(1, 2, 10)"
Orthogonal Matching Pursuit,2.1002,6.3127,2.5068,0.0663,0.7406,0.7102,0.035,"(1, 2, 10)"
Elastic Net,2.1387,6.377,2.5206,0.0562,0.7496,0.7358,0.035,"(1, 2, 10)"
Lasso Regression,2.159,6.4466,2.5345,0.0458,0.7559,0.7446,0.035,"(1, 2, 10)"
Lasso Least Angle Regression,2.159,6.4466,2.5345,0.0458,0.7559,0.7446,0.034,"(1, 2, 10)"
K Neighbors Regressor,2.1673,7.2251,2.6814,-0.0688,0.7735,0.7257,0.033,"(1, 2, 10)"
Dummy Regressor,2.2328,6.7829,2.6008,-0.0053,0.7719,0.7879,0.038,"(1, 2, 10)"
Passive Aggressive Regressor,2.5984,10.2484,3.1881,-0.539,0.9081,0.957,0.037,"(1, 2, 10)"
Least Angle Regression,2.043729075276073e+266,inf,inf,-inf,94.251,1.0072253856636954e+266,0.039,"(1, 2, 10)"
Extra Trees Regressor,1.2732,2.9823,1.7216,0.5569,0.5474,0.3991,0.149,"(1, 2, 12)"
Light Gradient Boosting Machine,1.3384,3.2832,1.8078,0.5096,0.56,0.4542,0.105,"(1, 2, 12)"
Random Forest Regressor,1.3939,3.5075,1.868,0.4773,0.5801,0.4329,0.417,"(1, 2, 12)"
Gradient Boosting Regressor,1.526,3.9939,1.994,0.4056,0.6133,0.4884,0.27,"(1, 2, 12)"
Decision Tree Regressor,1.6965,6.8808,2.5988,-0.027,0.7619,0.5987,0.041,"(1, 2, 12)"
Linear Regression,1.7551,5.0127,2.2328,0.2534,0.6764,0.6142,0.041,"(1, 2, 12)"
Ridge Regression,1.8888,5.5353,2.3481,0.1759,0.7074,0.6505,0.038,"(1, 2, 12)"
Bayesian Ridge,1.8984,5.5572,2.3528,0.1727,0.7094,0.6537,0.039,"(1, 2, 12)"
Huber Regressor,1.9569,6.3257,2.5091,0.0611,0.7098,0.6248,0.043,"(1, 2, 12)"
AdaBoost Regressor,2.0273,5.7615,2.397,0.1397,0.7675,0.7844,0.104,"(1, 2, 12)"
Orthogonal Matching Pursuit,2.0522,6.2323,2.4919,0.0738,0.7446,0.7279,0.04,"(1, 2, 12)"
Elastic Net,2.0678,6.2598,2.4979,0.0693,0.7473,0.7342,0.04,"(1, 2, 12)"
Lasso Regression,2.0882,6.3223,2.5105,0.0599,0.7533,0.7415,0.042,"(1, 2, 12)"
Lasso Least Angle Regression,2.0882,6.3223,2.5105,0.0599,0.7533,0.7415,0.038,"(1, 2, 12)"
K Neighbors Regressor,2.1255,7.1738,2.6771,-0.0733,0.7723,0.7582,0.042,"(1, 2, 12)"
Dummy Regressor,2.1709,6.7847,2.6011,-0.0088,0.7747,0.7818,0.047,"(1, 2, 12)"
Passive Aggressive Regressor,2.4532,9.6835,3.0711,-0.444,0.8787,0.8503,0.041,"(1, 2, 12)"
Least Angle Regression,13257.7038,2125776275.3399,17709.0577,-337988798.7981,5.1125,7824.531,0.039,"(1, 2, 12)"
Extra Trees Regressor,1.1166,2.308,1.5168,0.6124,0.4961,0.374,0.147,"(1, 2, 13)"
Light Gradient Boosting Machine,1.2009,2.6427,1.6237,0.5556,0.5155,0.4303,0.115,"(1, 2, 13)"
Random Forest Regressor,1.2138,2.6362,1.6224,0.5562,0.5226,0.4104,0.412,"(1, 2, 13)"
Gradient Boosting Regressor,1.3327,3.0874,1.7564,0.4812,0.5593,0.4531,0.277,"(1, 2, 13)"
Decision Tree Regressor,1.5454,5.5245,2.3454,0.0724,0.7111,0.6012,0.049,"(1, 2, 13)"
Linear Regression,1.642,4.4335,2.1029,0.2557,0.6417,0.5753,0.047,"(1, 2, 13)"
Ridge Regression,1.7385,4.8083,2.1897,0.1935,0.6677,0.5919,0.042,"(1, 2, 13)"
Bayesian Ridge,1.7466,4.8343,2.1957,0.1892,0.669,0.5964,0.044,"(1, 2, 13)"
Huber Regressor,1.8806,5.6456,2.3744,0.0531,0.6809,0.61,0.053,"(1, 2, 13)"
AdaBoost Regressor,1.8896,4.9743,2.229,0.1661,0.7234,0.7352,0.114,"(1, 2, 13)"
Orthogonal Matching Pursuit,1.9484,5.608,2.3662,0.0599,0.708,0.7015,0.038,"(1, 2, 13)"
Elastic Net,1.9725,5.6717,2.3799,0.0494,0.7182,0.7086,0.046,"(1, 2, 13)"
K Neighbors Regressor,1.9758,6.3011,2.5079,-0.0553,0.7342,0.7299,0.044,"(1, 2, 13)"
Lasso Regression,1.9851,5.734,2.393,0.0393,0.724,0.711,0.045,"(1, 2, 13)"
Lasso Least Angle Regression,1.9851,5.734,2.393,0.0393,0.724,0.711,0.044,"(1, 2, 13)"
Dummy Regressor,2.0433,5.9983,2.4472,-0.0041,0.7378,0.7473,0.041,"(1, 2, 13)"
Passive Aggressive Regressor,2.821,12.7569,3.5357,-1.1266,0.962,1.0867,0.051,"(1, 2, 13)"
Least Angle Regression,9323.6475,1447611725.7111,12399.0859,-251820304.9788,2.9287,4702.5763,0.047,"(1, 2, 13)"
Extra Trees Regressor,1.134,2.4259,1.5475,0.6178,0.5076,0.3417,0.154,"(1, 2, 15)"
Light Gradient Boosting Machine,1.2217,2.7875,1.6619,0.5575,0.5302,0.3852,0.113,"(1, 2, 15)"
Random Forest Regressor,1.247,2.8674,1.6855,0.5467,0.5421,0.3713,0.386,"(1, 2, 15)"
Gradient Boosting Regressor,1.3589,3.2364,1.7915,0.4873,0.5727,0.4237,0.264,"(1, 2, 15)"
Decision Tree Regressor,1.6106,6.27,2.494,0.0036,0.7344,0.5498,0.057,"(1, 2, 15)"
Linear Regression,1.6557,4.5522,2.1269,0.2775,0.6503,0.5577,0.046,"(1, 2, 15)"
Ridge Regression,1.7467,4.8651,2.1984,0.231,0.6679,0.5835,0.048,"(1, 2, 15)"
Bayesian Ridge,1.7547,4.8861,2.2032,0.2276,0.6694,0.5858,0.046,"(1, 2, 15)"
AdaBoost Regressor,1.861,4.951,2.2212,0.2148,0.7168,0.6943,0.111,"(1, 2, 15)"
Huber Regressor,1.8795,5.5904,2.3576,0.1154,0.689,0.6082,0.065,"(1, 2, 15)"
Orthogonal Matching Pursuit,1.9527,5.7089,2.3848,0.0943,0.7143,0.6897,0.047,"(1, 2, 15)"
Elastic Net,1.9758,5.7353,2.3903,0.0905,0.7196,0.7005,0.047,"(1, 2, 15)"
Lasso Regression,1.9956,5.8008,2.4037,0.0806,0.7258,0.7079,0.043,"(1, 2, 15)"
Lasso Least Angle Regression,1.9956,5.8008,2.4037,0.0806,0.7258,0.7079,0.045,"(1, 2, 15)"
K Neighbors Regressor,2.0642,6.675,2.5792,-0.0624,0.7533,0.7144,0.055,"(1, 2, 15)"
Dummy Regressor,2.101,6.367,2.518,-0.0076,0.7509,0.7604,0.051,"(1, 2, 15)"
Passive Aggressive Regressor,3.2519,16.7352,4.0117,-1.6399,0.9961,1.2422,0.044,"(1, 2, 15)"
Least Angle Regression,7982.6338,711422982.8438,11864.8586,-105859058.2306,3.5834,3555.1184,0.048,"(1, 2, 15)"
Extra Trees Regressor,1.1055,2.1971,1.4793,0.6289,0.4819,0.3747,0.151,"(1, 2, 16)"
Light Gradient Boosting Machine,1.1319,2.2957,1.5112,0.6127,0.4868,0.4064,0.117,"(1, 2, 16)"
Random Forest Regressor,1.2336,2.6706,1.6289,0.5498,0.5176,0.4226,0.438,"(1, 2, 16)"
Gradient Boosting Regressor,1.3227,3.0028,1.729,0.4921,0.5443,0.4643,0.292,"(1, 2, 16)"
Linear Regression,1.6144,4.1889,2.0422,0.2943,0.624,0.5897,0.048,"(1, 2, 16)"
Decision Tree Regressor,1.6549,5.8124,2.4046,0.014,0.7165,0.6472,0.062,"(1, 2, 16)"
Ridge Regression,1.718,4.5836,2.1392,0.2236,0.651,0.626,0.049,"(1, 2, 16)"
Bayesian Ridge,1.7262,4.6125,2.1459,0.2189,0.6532,0.6283,0.057,"(1, 2, 16)"
Huber Regressor,1.8231,5.2731,2.2918,0.111,0.668,0.6213,0.055,"(1, 2, 16)"
AdaBoost Regressor,1.8845,4.8833,2.2075,0.1711,0.7202,0.7739,0.125,"(1, 2, 16)"
Orthogonal Matching Pursuit,1.8947,5.2742,2.2934,0.1083,0.6908,0.7098,0.051,"(1, 2, 16)"
Elastic Net,1.927,5.4046,2.3222,0.087,0.7017,0.7131,0.051,"(1, 2, 16)"
K Neighbors Regressor,1.9436,6.0133,2.4473,-0.0135,0.7218,0.7014,0.05,"(1, 2, 16)"
Lasso Regression,1.947,5.4695,2.336,0.0763,0.7084,0.7176,0.049,"(1, 2, 16)"
Lasso Least Angle Regression,1.947,5.4695,2.336,0.0763,0.7084,0.7176,0.05,"(1, 2, 16)"
Dummy Regressor,2.0507,6.0042,2.4475,-0.0135,0.7367,0.7595,0.057,"(1, 2, 16)"
Passive Aggressive Regressor,2.4458,9.9312,3.105,-0.6683,0.8722,0.8132,0.058,"(1, 2, 16)"
Least Angle Regression,6237.3031,219112468.5133,8588.6032,-37699703.1505,4.7719,2981.523,0.055,"(1, 2, 16)"
Extra Trees Regressor,1.2147,2.6365,1.6208,0.6093,0.5256,0.3819,0.156,"(1, 2, 17)"
Light Gradient Boosting Machine,1.285,2.9442,1.7115,0.5629,0.5414,0.4259,0.118,"(1, 2, 17)"
Random Forest Regressor,1.346,3.0732,1.7495,0.5443,0.5618,0.4169,0.413,"(1, 2, 17)"
Gradient Boosting Regressor,1.4368,3.4888,1.863,0.4821,0.5922,0.4527,0.287,"(1, 2, 17)"
Decision Tree Regressor,1.7265,6.6387,2.5634,0.009,0.7512,0.6219,0.056,"(1, 2, 17)"
Linear Regression,1.7487,4.9721,2.2266,0.26,0.6701,0.575,0.053,"(1, 2, 17)"
Ridge Regression,1.8853,5.455,2.3328,0.1872,0.7012,0.6256,0.058,"(1, 2, 17)"
Bayesian Ridge,1.8942,5.4866,2.3394,0.1828,0.7037,0.6286,0.058,"(1, 2, 17)"
Huber Regressor,2.0091,6.1703,2.4797,0.0849,0.7178,0.6456,0.06,"(1, 2, 17)"
AdaBoost Regressor,2.0197,5.5813,2.3606,0.1697,0.7586,0.753,0.119,"(1, 2, 17)"
Orthogonal Matching Pursuit,2.0751,6.18,2.4827,0.0809,0.7441,0.7143,0.06,"(1, 2, 17)"
Elastic Net,2.1142,6.3415,2.516,0.0585,0.7541,0.7291,0.051,"(1, 2, 17)"
Lasso Regression,2.1297,6.4033,2.528,0.0499,0.7595,0.7344,0.053,"(1, 2, 17)"
Lasso Least Angle Regression,2.1297,6.4033,2.528,0.0499,0.7595,0.7344,0.053,"(1, 2, 17)"
K Neighbors Regressor,2.1304,6.8782,2.6201,-0.0238,0.7712,0.7344,0.054,"(1, 2, 17)"
Dummy Regressor,2.1954,6.8035,2.6047,-0.0071,0.7775,0.7666,0.059,"(1, 2, 17)"
Passive Aggressive Regressor,3.1635,17.102,3.8032,-1.436,0.9596,1.4078,0.053,"(1, 2, 17)"
Least Angle Regression,2403.6845,86654168.7611,3195.4717,-13521101.0345,2.6621,1025.0495,0.055,"(1, 2, 17)"
Extra Trees Regressor,1.1819,2.578,1.6015,0.5731,0.5151,0.3552,0.169,"(1, 3, 4)"
Light Gradient Boosting Machine,1.2636,2.843,1.6832,0.53,0.5333,0.4102,0.143,"(1, 3, 4)"
Random Forest Regressor,1.3406,3.152,1.7723,0.4794,0.562,0.4092,0.476,"(1, 3, 4)"
Gradient Boosting Regressor,1.4534,3.5039,1.87,0.4203,0.5913,0.4492,0.309,"(1, 3, 4)"
Linear Regression,1.7089,4.6514,2.1548,0.2299,0.6639,0.5662,0.07,"(1, 3, 4)"
Ridge Regression,1.8065,5.0202,2.2391,0.1682,0.6838,0.5985,0.066,"(1, 3, 4)"
Bayesian Ridge,1.824,5.076,2.2517,0.1587,0.6875,0.6072,0.059,"(1, 3, 4)"
Decision Tree Regressor,1.8577,7.3472,2.6985,-0.2287,0.7939,0.6687,0.067,"(1, 3, 4)"
Huber Regressor,1.8849,5.4919,2.3412,0.0904,0.6931,0.602,0.072,"(1, 3, 4)"
Orthogonal Matching Pursuit,1.9006,5.3656,2.3152,0.1104,0.7011,0.6496,0.066,"(1, 3, 4)"
AdaBoost Regressor,1.9077,5.1473,2.2677,0.1466,0.7336,0.7087,0.111,"(1, 3, 4)"
Elastic Net,1.9613,5.6098,2.3672,0.0702,0.7211,0.6716,0.056,"(1, 3, 4)"
K Neighbors Regressor,1.9626,6.0608,2.4593,-0.0026,0.7327,0.665,0.06,"(1, 3, 4)"
Lasso Regression,1.9788,5.6788,2.3819,0.0587,0.7275,0.6761,0.059,"(1, 3, 4)"
Lasso Least Angle Regression,1.9788,5.6788,2.3819,0.0587,0.7275,0.6761,0.061,"(1, 3, 4)"
Dummy Regressor,2.0462,6.0683,2.462,-0.0044,0.7453,0.7126,0.065,"(1, 3, 4)"
Passive Aggressive Regressor,2.6035,10.5986,3.2004,-0.7274,0.8983,1.1413,0.057,"(1, 3, 4)"
Least Angle Regression,9079.78,1493607640.2994,13361.6522,-237773414.1559,3.8357,4545.7249,0.06,"(1, 3, 4)"
Extra Trees Regressor,1.1868,2.5255,1.5873,0.5512,0.5158,0.3441,0.171,"(1, 3, 5)"
Light Gradient Boosting Machine,1.2761,2.9117,1.7033,0.4826,0.54,0.3884,0.132,"(1, 3, 5)"
Random Forest Regressor,1.3402,3.1063,1.7599,0.4478,0.5582,0.3901,0.466,"(1, 3, 5)"
Gradient Boosting Regressor,1.4259,3.4218,1.8461,0.392,0.585,0.423,0.307,"(1, 3, 5)"
Linear Regression,1.6992,4.635,2.151,0.1753,0.6536,0.5299,0.071,"(1, 3, 5)"
Ridge Regression,1.7879,4.9447,2.2223,0.1195,0.6747,0.571,0.058,"(1, 3, 5)"
Decision Tree Regressor,1.8095,7.0021,2.6418,-0.2492,0.7839,0.5867,0.078,"(1, 3, 5)"
Bayesian Ridge,1.8229,5.0643,2.2489,0.0984,0.6805,0.5951,0.062,"(1, 3, 5)"
Huber Regressor,1.835,5.2885,2.2978,0.0588,0.674,0.5684,0.077,"(1, 3, 5)"
AdaBoost Regressor,1.8452,4.832,2.1962,0.1405,0.6966,0.6688,0.129,"(1, 3, 5)"
Orthogonal Matching Pursuit,1.8979,5.3365,2.3077,0.0519,0.6967,0.6362,0.068,"(1, 3, 5)"
K Neighbors Regressor,1.9258,5.8997,2.426,-0.0518,0.7117,0.634,0.066,"(1, 3, 5)"
