Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Least Angle Regression,2.369335942451832e+124,9.918867905523351e+249,3.149423424299018e+124,-1.4752317876420282e+249,36.2815,7.919078351593824e+123,0.026,"(2, 3, 4)"
Extra Trees Regressor,1.5692,4.0391,1.9874,0.3618,0.5375,0.4397,0.113,"(2, 3, 6)"
Light Gradient Boosting Machine,1.7161,4.5782,2.1189,0.2714,0.5632,0.4727,0.045,"(2, 3, 6)"
Random Forest Regressor,1.7272,4.6724,2.1338,0.2603,0.5797,0.4968,0.202,"(2, 3, 6)"
Gradient Boosting Regressor,1.8179,5.2872,2.2741,0.155,0.5884,0.5128,0.141,"(2, 3, 6)"
Linear Regression,1.8909,5.5794,2.356,0.1014,0.6015,0.5519,0.018,"(2, 3, 6)"
Ridge Regression,1.9621,5.8474,2.4104,0.0639,0.6265,0.581,0.019,"(2, 3, 6)"
AdaBoost Regressor,1.9643,5.6438,2.361,0.1009,0.6152,0.5571,0.08,"(2, 3, 6)"
Orthogonal Matching Pursuit,2.0307,6.2626,2.4933,0.003,0.6521,0.6251,0.018,"(2, 3, 6)"
Huber Regressor,2.0443,6.3029,2.5016,-0.0067,0.6493,0.6115,0.024,"(2, 3, 6)"
Dummy Regressor,2.0713,6.5356,2.5456,-0.0369,0.66,0.6368,0.022,"(2, 3, 6)"
Elastic Net,2.0834,6.4434,2.5277,-0.0224,0.6564,0.6423,0.019,"(2, 3, 6)"
Bayesian Ridge,2.0878,6.5491,2.5475,-0.0379,0.6622,0.6448,0.019,"(2, 3, 6)"
Lasso Regression,2.0914,6.4955,2.5381,-0.031,0.6579,0.6459,0.018,"(2, 3, 6)"
Lasso Least Angle Regression,2.0914,6.4955,2.5381,-0.031,0.6579,0.6459,0.018,"(2, 3, 6)"
Decision Tree Regressor,2.2111,8.9698,2.945,-0.453,0.7427,0.664,0.021,"(2, 3, 6)"
K Neighbors Regressor,2.2355,7.565,2.742,-0.2168,0.696,0.6869,0.018,"(2, 3, 6)"
Passive Aggressive Regressor,4.748,35.9238,5.8338,-4.9749,1.1592,1.5749,0.018,"(2, 3, 6)"
Least Angle Regression,866735.9882,10529882370762.387,1067343.8444,-1534236813185.5881,5.6347,282451.1292,0.019,"(2, 3, 6)"
Extra Trees Regressor,1.7219,4.9039,2.207,0.2553,0.5662,0.492,0.112,"(2, 3, 9)"
Light Gradient Boosting Machine,1.8035,5.3988,2.3173,0.1725,0.5875,0.5087,0.038,"(2, 3, 9)"
Random Forest Regressor,1.8328,5.3972,2.3139,0.1854,0.5917,0.5334,0.178,"(2, 3, 9)"
Gradient Boosting Regressor,1.8595,5.6928,2.3796,0.1369,0.5922,0.5221,0.133,"(2, 3, 9)"
AdaBoost Regressor,1.9701,6.0668,2.4582,0.0772,0.6137,0.5407,0.079,"(2, 3, 9)"
Ridge Regression,1.98,6.1649,2.4714,0.0771,0.6172,0.579,0.02,"(2, 3, 9)"
Linear Regression,1.9808,6.2282,2.4853,0.054,0.6079,0.5958,0.02,"(2, 3, 9)"
Huber Regressor,2.0872,6.6792,2.5693,0.0098,0.6302,0.5967,0.026,"(2, 3, 9)"
Bayesian Ridge,2.1041,6.6732,2.5647,0.0178,0.6397,0.6337,0.021,"(2, 3, 9)"
Elastic Net,2.1125,6.8935,2.61,-0.0175,0.6514,0.647,0.024,"(2, 3, 9)"
Dummy Regressor,2.1128,6.9119,2.6164,-0.0231,0.6523,0.655,0.024,"(2, 3, 9)"
Lasso Regression,2.1136,6.9109,2.6135,-0.0202,0.6522,0.6486,0.022,"(2, 3, 9)"
Lasso Least Angle Regression,2.1136,6.9109,2.6135,-0.0202,0.6522,0.6486,0.021,"(2, 3, 9)"
Orthogonal Matching Pursuit,2.1175,7.0119,2.6337,-0.0397,0.6568,0.6443,0.02,"(2, 3, 9)"
Decision Tree Regressor,2.18,8.5099,2.9052,-0.3006,0.7274,0.681,0.022,"(2, 3, 9)"
K Neighbors Regressor,2.3235,8.3523,2.8757,-0.2431,0.6929,0.6971,0.021,"(2, 3, 9)"
Passive Aggressive Regressor,2.4758,9.9699,3.0882,-0.4434,0.7001,0.7676,0.021,"(2, 3, 9)"
Least Angle Regression,7.149608814243389e+225,inf,inf,-inf,56.8296,1.878804803718987e+225,0.027,"(2, 3, 9)"
Extra Trees Regressor,1.9157,5.654,2.3649,0.2257,0.602,0.5522,0.114,"(2, 3, 12)"
Random Forest Regressor,2.039,6.1843,2.4704,0.1508,0.6268,0.5874,0.18,"(2, 3, 12)"
Light Gradient Boosting Machine,2.1102,6.6058,2.5517,0.0957,0.6423,0.5838,0.036,"(2, 3, 12)"
AdaBoost Regressor,2.1402,6.5407,2.5481,0.1015,0.6438,0.6164,0.086,"(2, 3, 12)"
Gradient Boosting Regressor,2.1458,6.9141,2.6168,0.0501,0.652,0.6387,0.133,"(2, 3, 12)"
Linear Regression,2.1844,7.4229,2.7181,-0.035,0.664,0.6516,0.023,"(2, 3, 12)"
Ridge Regression,2.2188,7.1049,2.6562,0.0063,0.6768,0.6404,0.021,"(2, 3, 12)"
Huber Regressor,2.3073,7.5595,2.74,-0.057,0.6908,0.6675,0.026,"(2, 3, 12)"
Orthogonal Matching Pursuit,2.3111,7.4716,2.7281,-0.0335,0.6967,0.6882,0.025,"(2, 3, 12)"
Elastic Net,2.3181,7.4977,2.734,-0.0351,0.6964,0.7016,0.023,"(2, 3, 12)"
Lasso Regression,2.3208,7.5084,2.7363,-0.0348,0.6969,0.7045,0.022,"(2, 3, 12)"
Lasso Least Angle Regression,2.3208,7.5084,2.7363,-0.0348,0.6969,0.7045,0.023,"(2, 3, 12)"
Bayesian Ridge,2.3302,7.5961,2.7528,-0.0478,0.6985,0.7009,0.025,"(2, 3, 12)"
Dummy Regressor,2.3408,7.678,2.7657,-0.0523,0.7022,0.7228,0.024,"(2, 3, 12)"
K Neighbors Regressor,2.5064,8.9062,2.977,-0.2275,0.7359,0.7675,0.024,"(2, 3, 12)"
Decision Tree Regressor,2.6531,12.1726,3.4656,-0.6857,0.8652,0.8156,0.024,"(2, 3, 12)"
Passive Aggressive Regressor,3.2409,17.187,4.0075,-1.3488,0.8393,0.981,0.022,"(2, 3, 12)"
Least Angle Regression,31499.2111,9421334280.3544,50668.9502,-1355176256.0065,5.6703,8963.5812,0.024,"(2, 3, 12)"
Extra Trees Regressor,1.6575,4.5447,2.1217,0.2155,0.5451,0.4984,0.117,"(2, 3, 13)"
Random Forest Regressor,1.745,4.8635,2.1941,0.1629,0.5647,0.5373,0.199,"(2, 3, 13)"
Gradient Boosting Regressor,1.7817,5.2948,2.2905,0.0833,0.5659,0.5465,0.143,"(2, 3, 13)"
Light Gradient Boosting Machine,1.7851,5.2723,2.2897,0.0768,0.5847,0.547,0.039,"(2, 3, 13)"
AdaBoost Regressor,1.8866,5.4352,2.322,0.0599,0.5941,0.5671,0.085,"(2, 3, 13)"
Ridge Regression,1.9184,5.7955,2.3962,-0.0066,0.6101,0.6011,0.026,"(2, 3, 13)"
Huber Regressor,1.9233,5.8401,2.407,-0.0133,0.6118,0.5936,0.029,"(2, 3, 13)"
Orthogonal Matching Pursuit,1.9423,5.8435,2.41,-0.0163,0.6176,0.6235,0.027,"(2, 3, 13)"
Elastic Net,1.9543,5.8474,2.4115,-0.0162,0.6166,0.6295,0.025,"(2, 3, 13)"
Lasso Least Angle Regression,1.9564,5.86,2.4145,-0.0188,0.6178,0.632,0.025,"(2, 3, 13)"
Lasso Regression,1.9564,5.86,2.4145,-0.0188,0.6178,0.632,0.027,"(2, 3, 13)"
Dummy Regressor,1.9619,5.9157,2.426,-0.026,0.6171,0.6381,0.027,"(2, 3, 13)"
Bayesian Ridge,1.9629,5.9211,2.4273,-0.0292,0.6201,0.6335,0.027,"(2, 3, 13)"
Linear Regression,2.01,6.3887,2.502,-0.1084,0.6127,0.6205,0.027,"(2, 3, 13)"
K Neighbors Regressor,2.0139,6.1632,2.475,-0.0795,0.6185,0.6107,0.026,"(2, 3, 13)"
Decision Tree Regressor,2.2302,9.3643,3.0415,-0.6259,0.7383,0.71,0.027,"(2, 3, 13)"
Passive Aggressive Regressor,2.6729,11.4027,3.2993,-1.0552,0.7486,0.7473,0.027,"(2, 3, 13)"
Least Angle Regression,25621.1595,4956651434.9004,34651.8248,-984529607.1341,5.3299,7384.8749,0.027,"(2, 3, 13)"
Extra Trees Regressor,1.7717,5.1828,2.2399,0.198,0.578,0.4356,0.112,"(2, 3, 15)"
Light Gradient Boosting Machine,1.8905,5.7725,2.3743,0.1026,0.605,0.4826,0.039,"(2, 3, 15)"
Random Forest Regressor,1.9126,5.96,2.4172,0.0751,0.615,0.5005,0.181,"(2, 3, 15)"
Gradient Boosting Regressor,1.9382,6.2143,2.4679,0.0388,0.6191,0.5053,0.136,"(2, 3, 15)"
Ridge Regression,2.0167,6.4052,2.5049,-0.0,0.6384,0.5469,0.028,"(2, 3, 15)"
Huber Regressor,2.0295,6.5739,2.5387,-0.0184,0.6427,0.5568,0.031,"(2, 3, 15)"
Orthogonal Matching Pursuit,2.0458,6.591,2.5447,-0.0158,0.6463,0.572,0.03,"(2, 3, 15)"
Lasso Least Angle Regression,2.0548,6.6532,2.5627,-0.0255,0.6473,0.5765,0.029,"(2, 3, 15)"
Lasso Regression,2.0548,6.6532,2.5627,-0.0255,0.6473,0.5765,0.028,"(2, 3, 15)"
Elastic Net,2.0573,6.6724,2.5658,-0.0287,0.6482,0.5762,0.028,"(2, 3, 15)"
AdaBoost Regressor,2.0581,6.3335,2.5025,-0.0017,0.6294,0.5372,0.086,"(2, 3, 15)"
Bayesian Ridge,2.0608,6.7045,2.5714,-0.0302,0.6491,0.5796,0.029,"(2, 3, 15)"
Linear Regression,2.0731,7.054,2.63,-0.1387,0.6401,0.5751,0.027,"(2, 3, 15)"
Dummy Regressor,2.0784,6.7442,2.5733,-0.0205,0.6468,0.5985,0.032,"(2, 3, 15)"
K Neighbors Regressor,2.2024,7.7035,2.7495,-0.1901,0.6735,0.6132,0.028,"(2, 3, 15)"
Decision Tree Regressor,2.5722,11.9426,3.4413,-0.9781,0.8632,0.7599,0.03,"(2, 3, 15)"
Passive Aggressive Regressor,2.9019,13.79,3.6483,-1.1361,0.7822,0.8341,0.029,"(2, 3, 15)"
Least Angle Regression,1116345.3441,9493040261354.955,1406080.7099,-1386223014365.452,7.5155,287931.2069,0.03,"(2, 3, 15)"
Extra Trees Regressor,1.5946,4.2667,2.0447,0.3111,0.5273,0.414,0.119,"(2, 3, 16)"
Light Gradient Boosting Machine,1.7367,4.9704,2.2086,0.1881,0.558,0.4569,0.049,"(2, 3, 16)"
Random Forest Regressor,1.7487,4.8261,2.1735,0.2205,0.5577,0.4723,0.199,"(2, 3, 16)"
Gradient Boosting Regressor,1.7796,5.0953,2.2349,0.1776,0.56,0.462,0.142,"(2, 3, 16)"
Ridge Regression,1.8535,5.431,2.3092,0.1159,0.5968,0.4998,0.03,"(2, 3, 16)"
AdaBoost Regressor,1.8911,5.4557,2.3189,0.11,0.5957,0.5231,0.088,"(2, 3, 16)"
Linear Regression,1.911,5.8505,2.3946,0.0281,0.6063,0.5138,0.032,"(2, 3, 16)"
Huber Regressor,1.9785,5.962,2.4179,0.0305,0.6214,0.5519,0.034,"(2, 3, 16)"
Orthogonal Matching Pursuit,1.9995,5.9983,2.4284,0.0202,0.6243,0.5627,0.031,"(2, 3, 16)"
Bayesian Ridge,2.0141,6.0976,2.4494,0.0089,0.6291,0.5723,0.031,"(2, 3, 16)"
Elastic Net,2.0184,6.1006,2.4483,0.0108,0.6279,0.5786,0.032,"(2, 3, 16)"
Lasso Regression,2.0207,6.1176,2.4528,0.0077,0.6286,0.5811,0.033,"(2, 3, 16)"
Lasso Least Angle Regression,2.0207,6.1176,2.4528,0.0077,0.6286,0.5811,0.032,"(2, 3, 16)"
Dummy Regressor,2.0485,6.3867,2.5123,-0.0445,0.6379,0.6017,0.034,"(2, 3, 16)"
K Neighbors Regressor,2.1412,6.9827,2.6254,-0.1569,0.6475,0.6049,0.032,"(2, 3, 16)"
Decision Tree Regressor,2.3364,9.8719,3.1029,-0.5997,0.7937,0.6309,0.032,"(2, 3, 16)"
Passive Aggressive Regressor,4.4705,32.8072,5.4635,-4.5491,0.9639,1.5337,0.031,"(2, 3, 16)"
Least Angle Regression,1035603.4033,16407315958328.0,1285023.0091,-2303159580317.113,5.6059,280527.2541,0.033,"(2, 3, 16)"
Extra Trees Regressor,1.7965,5.1734,2.2591,0.2525,0.5826,0.5076,0.122,"(2, 3, 17)"
Random Forest Regressor,1.8532,5.3375,2.2882,0.2417,0.5927,0.5093,0.194,"(2, 3, 17)"
Light Gradient Boosting Machine,1.9831,6.133,2.4623,0.1038,0.6284,0.5507,0.046,"(2, 3, 17)"
Gradient Boosting Regressor,1.9844,6.17,2.4645,0.1153,0.6146,0.5676,0.147,"(2, 3, 17)"
Linear Regression,2.0203,6.3607,2.4964,0.0837,0.6032,0.5842,0.033,"(2, 3, 17)"
Ridge Regression,2.041,6.2382,2.4771,0.1088,0.6175,0.5841,0.033,"(2, 3, 17)"
AdaBoost Regressor,2.064,6.3361,2.4999,0.0913,0.6284,0.5819,0.091,"(2, 3, 17)"
Huber Regressor,2.1146,6.6861,2.5674,0.0425,0.6368,0.6006,0.037,"(2, 3, 17)"
Orthogonal Matching Pursuit,2.1461,6.7274,2.5746,0.0394,0.6477,0.6329,0.034,"(2, 3, 17)"
Bayesian Ridge,2.1603,6.8819,2.6052,0.0162,0.6541,0.6341,0.033,"(2, 3, 17)"
Elastic Net,2.1612,6.888,2.6059,0.0159,0.6536,0.6352,0.033,"(2, 3, 17)"
Lasso Regression,2.1616,6.8948,2.6077,0.0144,0.6545,0.6358,0.036,"(2, 3, 17)"
Lasso Least Angle Regression,2.1616,6.8948,2.6077,0.0144,0.6545,0.6358,0.034,"(2, 3, 17)"
Dummy Regressor,2.1906,7.1046,2.6484,-0.0174,0.6622,0.6458,0.038,"(2, 3, 17)"
K Neighbors Regressor,2.2155,7.5868,2.7328,-0.0936,0.6704,0.6184,0.035,"(2, 3, 17)"
Decision Tree Regressor,2.4547,10.8384,3.2657,-0.595,0.8299,0.7061,0.035,"(2, 3, 17)"
Passive Aggressive Regressor,3.1537,20.3265,3.8432,-1.672,0.7823,0.9541,0.037,"(2, 3, 17)"
Least Angle Regression,17429642.106,4398834649530695.5,21806290.7021,-496830157018288.3,7.6229,4912582.2767,0.035,"(2, 3, 17)"
Extra Trees Regressor,1.758,4.9238,2.1973,0.2383,0.5804,0.4883,0.129,"(2, 4, 6)"
Gradient Boosting Regressor,1.7885,5.0464,2.2316,0.2069,0.5839,0.5038,0.161,"(2, 4, 6)"
Random Forest Regressor,1.8011,5.1265,2.2498,0.2012,0.587,0.5018,0.228,"(2, 4, 6)"
Light Gradient Boosting Machine,1.8703,5.4103,2.3098,0.1429,0.596,0.5149,0.057,"(2, 4, 6)"
Linear Regression,1.8853,5.6082,2.3536,0.1235,0.5922,0.513,0.037,"(2, 4, 6)"
Ridge Regression,1.9735,6.0144,2.4351,0.0652,0.6305,0.5428,0.037,"(2, 4, 6)"
AdaBoost Regressor,1.9916,5.8642,2.4026,0.0931,0.6164,0.5505,0.095,"(2, 4, 6)"
Bayesian Ridge,2.0455,6.2587,2.485,0.0263,0.6448,0.5722,0.038,"(2, 4, 6)"
Huber Regressor,2.0538,6.386,2.5085,0.0078,0.6406,0.566,0.039,"(2, 4, 6)"
Orthogonal Matching Pursuit,2.1048,6.4695,2.5267,-0.0059,0.6551,0.5992,0.036,"(2, 4, 6)"
Elastic Net,2.1199,6.6362,2.5626,-0.0385,0.6599,0.6062,0.037,"(2, 4, 6)"
Lasso Regression,2.1207,6.6449,2.5639,-0.0388,0.6606,0.607,0.037,"(2, 4, 6)"
Lasso Least Angle Regression,2.1207,6.6449,2.5639,-0.0388,0.6606,0.607,0.036,"(2, 4, 6)"
Dummy Regressor,2.1307,6.7748,2.5869,-0.0536,0.6661,0.6097,0.037,"(2, 4, 6)"
Decision Tree Regressor,2.1706,8.6584,2.9311,-0.3992,0.7202,0.611,0.037,"(2, 4, 6)"
K Neighbors Regressor,2.2282,7.6055,2.7459,-0.2105,0.6954,0.6293,0.037,"(2, 4, 6)"
Passive Aggressive Regressor,3.2587,16.4516,3.9296,-1.7632,0.992,0.8696,0.038,"(2, 4, 6)"
Least Angle Regression,100633381.2189,3.51151353581755e+17,187491060.7012,-5.106509822491418e+16,7.0533,25204011.3798,0.04,"(2, 4, 6)"
Extra Trees Regressor,1.8061,5.343,2.2855,0.2565,0.5763,0.4642,0.122,"(2, 4, 9)"
Linear Regression,1.8633,5.6266,2.3412,0.2091,0.5916,0.4815,0.039,"(2, 4, 9)"
Random Forest Regressor,1.898,5.7179,2.3661,0.2066,0.5962,0.4919,0.205,"(2, 4, 9)"
Light Gradient Boosting Machine,1.9032,5.7931,2.389,0.1836,0.6001,0.4805,0.055,"(2, 4, 9)"
Gradient Boosting Regressor,1.9275,6.0308,2.4296,0.159,0.6028,0.4946,0.153,"(2, 4, 9)"
AdaBoost Regressor,2.0116,6.0461,2.4407,0.1531,0.6178,0.5259,0.095,"(2, 4, 9)"
Ridge Regression,2.0476,6.5845,2.537,0.0852,0.6357,0.5306,0.04,"(2, 4, 9)"
Bayesian Ridge,2.1404,6.8898,2.6017,0.0416,0.6546,0.5611,0.04,"(2, 4, 9)"
Huber Regressor,2.1656,7.0163,2.6224,0.019,0.6522,0.5587,0.043,"(2, 4, 9)"
Orthogonal Matching Pursuit,2.1745,6.9586,2.6197,0.0269,0.6608,0.5898,0.041,"(2, 4, 9)"
Elastic Net,2.2199,7.2613,2.6827,-0.0242,0.6701,0.6153,0.041,"(2, 4, 9)"
Lasso Regression,2.2215,7.2695,2.6838,-0.0233,0.6708,0.6175,0.04,"(2, 4, 9)"
Lasso Least Angle Regression,2.2215,7.2695,2.6838,-0.0233,0.6708,0.6175,0.04,"(2, 4, 9)"
Dummy Regressor,2.2309,7.3406,2.6947,-0.0274,0.6709,0.6262,0.044,"(2, 4, 9)"
K Neighbors Regressor,2.3071,7.8934,2.7878,-0.1165,0.6828,0.6106,0.041,"(2, 4, 9)"
Decision Tree Regressor,2.4286,10.4733,3.1713,-0.4653,0.8084,0.5878,0.043,"(2, 4, 9)"
Passive Aggressive Regressor,3.7722,23.3703,4.5945,-2.4945,0.8756,1.1228,0.042,"(2, 4, 9)"
Least Angle Regression,87240.2721,100897942882.698,113287.6947,-14085152996.9594,4.6861,28042.9245,0.04,"(2, 4, 9)"
Extra Trees Regressor,1.937,5.674,2.3734,0.2552,0.5867,0.5374,0.126,"(2, 4, 12)"
Random Forest Regressor,2.04,6.2897,2.4996,0.1806,0.6151,0.5671,0.201,"(2, 4, 12)"
Gradient Boosting Regressor,2.0757,6.7379,2.5888,0.1192,0.6278,0.572,0.152,"(2, 4, 12)"
Light Gradient Boosting Machine,2.1189,6.8015,2.596,0.114,0.6254,0.5877,0.055,"(2, 4, 12)"
Ridge Regression,2.151,7.0682,2.6422,0.0864,0.6402,0.5859,0.043,"(2, 4, 12)"
Huber Regressor,2.1865,7.0262,2.6394,0.0833,0.6479,0.6031,0.046,"(2, 4, 12)"
Linear Regression,2.1941,7.6887,2.7485,0.0121,0.6317,0.5777,0.041,"(2, 4, 12)"
Bayesian Ridge,2.213,7.1042,2.6539,0.0768,0.6512,0.6128,0.042,"(2, 4, 12)"
AdaBoost Regressor,2.2381,7.1748,2.6674,0.0673,0.6369,0.5892,0.097,"(2, 4, 12)"
Orthogonal Matching Pursuit,2.3062,7.6603,2.7551,0.0041,0.6714,0.6411,0.042,"(2, 4, 12)"
Elastic Net,2.362,7.9474,2.8093,-0.035,0.678,0.6717,0.043,"(2, 4, 12)"
Lasso Regression,2.3718,7.9848,2.817,-0.0413,0.6795,0.6765,0.045,"(2, 4, 12)"
Lasso Least Angle Regression,2.3718,7.9848,2.817,-0.0413,0.6795,0.6765,0.043,"(2, 4, 12)"
Dummy Regressor,2.3989,8.0696,2.833,-0.0537,0.681,0.6972,0.046,"(2, 4, 12)"
K Neighbors Regressor,2.5028,9.1285,3.0117,-0.1911,0.7105,0.6922,0.042,"(2, 4, 12)"
Decision Tree Regressor,2.5484,11.0196,3.2781,-0.442,0.7959,0.6782,0.043,"(2, 4, 12)"
Passive Aggressive Regressor,3.0688,14.5209,3.7115,-0.9732,0.7894,0.8595,0.044,"(2, 4, 12)"
Least Angle Regression,52895.7091,28472118838.4058,64070.2963,-3056879695.615,6.6263,13741.8635,0.043,"(2, 4, 12)"
Extra Trees Regressor,1.7714,5.3259,2.2858,0.1862,0.5737,0.5263,0.126,"(2, 4, 13)"
Random Forest Regressor,1.8383,5.6015,2.3442,0.1513,0.5859,0.552,0.219,"(2, 4, 13)"
Linear Regression,1.8816,5.4703,2.3213,0.1487,0.5752,0.5454,0.045,"(2, 4, 13)"
Gradient Boosting Regressor,1.891,5.9649,2.4185,0.0991,0.5844,0.5659,0.156,"(2, 4, 13)"
Ridge Regression,1.933,5.7589,2.381,0.1312,0.6026,0.5798,0.046,"(2, 4, 13)"
Light Gradient Boosting Machine,1.9378,5.9617,2.4228,0.0918,0.5929,0.5826,0.062,"(2, 4, 13)"
Huber Regressor,1.9566,5.9177,2.4164,0.1016,0.6112,0.5933,0.049,"(2, 4, 13)"
AdaBoost Regressor,1.966,5.8884,2.4072,0.1129,0.5987,0.5732,0.098,"(2, 4, 13)"
Bayesian Ridge,1.9718,5.8955,2.4135,0.1069,0.6117,0.5953,0.047,"(2, 4, 13)"
Orthogonal Matching Pursuit,2.0092,6.0643,2.4503,0.0774,0.6214,0.6151,0.045,"(2, 4, 13)"
Elastic Net,2.1311,6.581,2.55,0.0038,0.6347,0.6532,0.046,"(2, 4, 13)"
Lasso Regression,2.1381,6.629,2.5591,-0.0026,0.6366,0.656,0.047,"(2, 4, 13)"
Lasso Least Angle Regression,2.1381,6.629,2.5591,-0.0026,0.6366,0.656,0.045,"(2, 4, 13)"
Dummy Regressor,2.1888,6.8935,2.6083,-0.0398,0.6434,0.6802,0.049,"(2, 4, 13)"
K Neighbors Regressor,2.2471,7.4153,2.706,-0.1322,0.6587,0.6618,0.045,"(2, 4, 13)"
Decision Tree Regressor,2.3035,10.376,3.201,-0.6149,0.7685,0.6965,0.047,"(2, 4, 13)"
Passive Aggressive Regressor,4.0853,27.1178,4.9349,-3.4566,0.9704,1.2288,0.047,"(2, 4, 13)"
Least Angle Regression,806009.4988,14180500846484.23,1251998.9789,-2491563818445.716,6.0914,271191.4852,0.047,"(2, 4, 13)"
Extra Trees Regressor,1.7561,5.2255,2.2578,0.1561,0.5692,0.4376,0.124,"(2, 4, 15)"
Light Gradient Boosting Machine,1.8236,5.5847,2.3347,0.0974,0.5774,0.4563,0.064,"(2, 4, 15)"
Random Forest Regressor,1.8442,5.486,2.3089,0.1174,0.5809,0.4728,0.203,"(2, 4, 15)"
Ridge Regression,1.9502,6.2043,2.4637,-0.0038,0.6114,0.5051,0.048,"(2, 4, 15)"
Gradient Boosting Regressor,1.9535,6.2895,2.478,-0.0178,0.6046,0.494,0.151,"(2, 4, 15)"
Linear Regression,1.9723,6.3621,2.4981,-0.0457,0.5997,0.4888,0.049,"(2, 4, 15)"
Huber Regressor,1.9775,6.2511,2.4726,-0.0144,0.6115,0.5173,0.051,"(2, 4, 15)"
Orthogonal Matching Pursuit,2.0132,6.4132,2.5018,-0.0334,0.6193,0.5317,0.048,"(2, 4, 15)"
Bayesian Ridge,2.0446,6.5322,2.5269,-0.0476,0.6231,0.5395,0.051,"(2, 4, 15)"
Lasso Least Angle Regression,2.0455,6.5203,2.529,-0.0492,0.6212,0.5446,0.049,"(2, 4, 15)"
Lasso Regression,2.0455,6.5203,2.529,-0.0492,0.6212,0.5446,0.049,"(2, 4, 15)"
Elastic Net,2.0465,6.5047,2.5249,-0.0459,0.6203,0.5418,0.047,"(2, 4, 15)"
AdaBoost Regressor,2.0679,6.6977,2.5573,-0.086,0.6169,0.5169,0.097,"(2, 4, 15)"
Dummy Regressor,2.0972,6.757,2.5779,-0.0894,0.627,0.5701,0.051,"(2, 4, 15)"
K Neighbors Regressor,2.2787,8.1939,2.834,-0.325,0.6671,0.6033,0.048,"(2, 4, 15)"
Decision Tree Regressor,2.3267,9.7953,3.1003,-0.592,0.7745,0.621,0.048,"(2, 4, 15)"
Passive Aggressive Regressor,3.6898,20.1108,4.4037,-2.5157,1.0435,0.9357,0.049,"(2, 4, 15)"
Least Angle Regression,35372338.4929,1.7909649039974006e+16,43196882.5533,-4746888884068694.0,6.2261,12880991.8514,0.05,"(2, 4, 15)"
Extra Trees Regressor,1.6254,4.3203,2.0641,0.3628,0.5288,0.4451,0.132,"(2, 4, 16)"
Gradient Boosting Regressor,1.7405,4.9138,2.1956,0.2746,0.5477,0.4604,0.16,"(2, 4, 16)"
Random Forest Regressor,1.7639,4.8284,2.1797,0.2902,0.5567,0.4844,0.209,"(2, 4, 16)"
Light Gradient Boosting Machine,1.7801,4.9946,2.2076,0.2675,0.5615,0.4804,0.066,"(2, 4, 16)"
Linear Regression,1.8693,5.5502,2.3328,0.1753,0.5803,0.5094,0.055,"(2, 4, 16)"
Ridge Regression,1.8817,5.5043,2.336,0.1774,0.592,0.5147,0.052,"(2, 4, 16)"
AdaBoost Regressor,1.9357,5.7424,2.38,0.1556,0.5935,0.4992,0.099,"(2, 4, 16)"
Orthogonal Matching Pursuit,1.9825,5.7864,2.3994,0.1357,0.6093,0.5584,0.053,"(2, 4, 16)"
Bayesian Ridge,1.9828,5.8593,2.4116,0.1289,0.6116,0.5413,0.051,"(2, 4, 16)"
Huber Regressor,2.0047,6.0151,2.4433,0.1007,0.6162,0.5552,0.054,"(2, 4, 16)"
