Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Orthogonal Matching Pursuit,2.0186,6.0265,2.4518,0.0133,0.7369,0.7134,0.032,"(1, 2, 9)",wrist,3
K Neighbors Regressor,2.0674,6.6984,2.5856,-0.101,0.7622,0.7333,0.031,"(1, 2, 9)",wrist,3
Dummy Regressor,2.0763,6.1716,2.4815,-0.0107,0.7452,0.7606,0.04,"(1, 2, 9)",wrist,3
Passive Aggressive Regressor,2.6557,11.9459,3.4252,-0.9737,0.9317,1.063,0.029,"(1, 2, 9)",wrist,3
Least Angle Regression,88.9318,119363.2583,115.5911,-22109.1756,1.4355,48.8197,0.032,"(1, 2, 9)",wrist,3
Extra Trees Regressor,1.4876,3.8322,1.954,0.4254,0.6046,0.4574,0.101,"(1, 2, 10)",wrist,3
Random Forest Regressor,1.5402,4.1582,2.0355,0.3764,0.6177,0.4793,0.181,"(1, 2, 10)",wrist,3
Light Gradient Boosting Machine,1.5799,4.3207,2.0733,0.3531,0.6237,0.51,0.064,"(1, 2, 10)",wrist,3
Gradient Boosting Regressor,1.6935,4.6859,2.1597,0.299,0.6568,0.5338,0.123,"(1, 2, 10)",wrist,3
Decision Tree Regressor,1.9063,7.6741,2.7668,-0.1603,0.79,0.6778,0.037,"(1, 2, 10)",wrist,3
Linear Regression,1.9344,5.5586,2.3538,0.167,0.7119,0.6737,0.037,"(1, 2, 10)",wrist,3
Huber Regressor,2.0304,6.2115,2.4899,0.0667,0.7305,0.6621,0.036,"(1, 2, 10)",wrist,3
Ridge Regression,2.0378,5.9084,2.4286,0.1134,0.7319,0.7033,0.032,"(1, 2, 10)",wrist,3
Bayesian Ridge,2.0564,6.0066,2.4484,0.0991,0.7376,0.7127,0.031,"(1, 2, 10)",wrist,3
AdaBoost Regressor,2.1491,6.1292,2.474,0.0805,0.782,0.8196,0.056,"(1, 2, 10)",wrist,3
Elastic Net,2.181,6.5381,2.5545,0.0202,0.7683,0.752,0.032,"(1, 2, 10)",wrist,3
Lasso Regression,2.1817,6.5409,2.555,0.0199,0.7684,0.7515,0.034,"(1, 2, 10)",wrist,3
Lasso Least Angle Regression,2.1817,6.5409,2.555,0.0199,0.7684,0.7515,0.034,"(1, 2, 10)",wrist,3
Orthogonal Matching Pursuit,2.201,6.6426,2.5743,0.0055,0.7715,0.7514,0.03,"(1, 2, 10)",wrist,3
Dummy Regressor,2.2158,6.7165,2.5891,-0.0064,0.7744,0.7778,0.039,"(1, 2, 10)",wrist,3
K Neighbors Regressor,2.2225,7.3178,2.7022,-0.0997,0.7898,0.7443,0.036,"(1, 2, 10)",wrist,3
Passive Aggressive Regressor,3.182,15.2326,3.8956,-1.287,1.0724,1.379,0.034,"(1, 2, 10)",wrist,3
Least Angle Regression,5102.248,378121239.9911,6165.236,-57813433.5916,2.0458,2437.8445,0.033,"(1, 2, 10)",wrist,3
Extra Trees Regressor,1.5849,4.3635,2.0867,0.3602,0.6241,0.5394,0.098,"(1, 2, 12)",wrist,3
Light Gradient Boosting Machine,1.5986,4.5839,2.1385,0.3268,0.6352,0.5662,0.065,"(1, 2, 12)",wrist,3
Random Forest Regressor,1.6293,4.551,2.1316,0.3325,0.6341,0.5693,0.195,"(1, 2, 12)",wrist,3
Gradient Boosting Regressor,1.7221,4.9271,2.2173,0.2772,0.6595,0.5878,0.127,"(1, 2, 12)",wrist,3
Linear Regression,1.8948,5.6457,2.3732,0.1726,0.7083,0.6678,0.038,"(1, 2, 12)",wrist,3
Huber Regressor,1.9583,6.2678,2.498,0.0845,0.7161,0.6428,0.041,"(1, 2, 12)",wrist,3
Ridge Regression,1.9669,5.8806,2.4217,0.1386,0.7221,0.6965,0.039,"(1, 2, 12)",wrist,3
Bayesian Ridge,1.9675,5.8878,2.4231,0.1376,0.722,0.6964,0.037,"(1, 2, 12)",wrist,3
Decision Tree Regressor,2.0722,9.0188,3.0008,-0.3309,0.8476,0.8338,0.039,"(1, 2, 12)",wrist,3
Elastic Net,2.1341,6.5469,2.5567,0.0404,0.7645,0.7655,0.038,"(1, 2, 12)",wrist,3
Lasso Least Angle Regression,2.1341,6.5492,2.5572,0.0402,0.7646,0.7645,0.036,"(1, 2, 12)",wrist,3
Lasso Regression,2.1341,6.5492,2.5572,0.0402,0.7646,0.7645,0.037,"(1, 2, 12)",wrist,3
Orthogonal Matching Pursuit,2.148,6.7859,2.6025,0.0061,0.7714,0.7553,0.037,"(1, 2, 12)",wrist,3
K Neighbors Regressor,2.1667,7.3146,2.7022,-0.0737,0.7852,0.784,0.04,"(1, 2, 12)",wrist,3
Dummy Regressor,2.1841,6.8718,2.6188,-0.0061,0.7749,0.7885,0.041,"(1, 2, 12)",wrist,3
AdaBoost Regressor,2.1925,6.4205,2.5311,0.0594,0.8018,0.9077,0.055,"(1, 2, 12)",wrist,3
Passive Aggressive Regressor,3.5979,23.2103,4.306,-2.5737,1.0409,1.6295,0.04,"(1, 2, 12)",wrist,3
Least Angle Regression,20.4314,2417.5148,25.9123,-328.2915,1.5119,10.1028,0.037,"(1, 2, 12)",wrist,3
Extra Trees Regressor,1.5023,3.8944,1.969,0.3613,0.6059,0.5019,0.098,"(1, 2, 13)",wrist,3
Random Forest Regressor,1.5427,4.0691,2.0125,0.3329,0.6186,0.511,0.206,"(1, 2, 13)",wrist,3
Light Gradient Boosting Machine,1.561,4.2249,2.051,0.3063,0.6245,0.5462,0.066,"(1, 2, 13)",wrist,3
Gradient Boosting Regressor,1.6573,4.4163,2.0982,0.2752,0.643,0.5613,0.131,"(1, 2, 13)",wrist,3
Linear Regression,1.7964,5.0581,2.2474,0.1693,0.6813,0.6328,0.036,"(1, 2, 13)",wrist,3
Bayesian Ridge,1.8093,5.0789,2.2524,0.1655,0.6834,0.6348,0.042,"(1, 2, 13)",wrist,3
Ridge Regression,1.916,5.457,2.3351,0.1028,0.7073,0.6765,0.041,"(1, 2, 13)",wrist,3
Huber Regressor,1.9429,5.8543,2.4182,0.0376,0.7084,0.6436,0.042,"(1, 2, 13)",wrist,3
Decision Tree Regressor,2.0025,8.4845,2.9045,-0.3943,0.8335,0.7517,0.043,"(1, 2, 13)",wrist,3
Elastic Net,2.0329,5.9501,2.4381,0.0227,0.7389,0.7221,0.042,"(1, 2, 13)",wrist,3
Lasso Least Angle Regression,2.0329,5.9529,2.4387,0.0223,0.7389,0.7214,0.038,"(1, 2, 13)",wrist,3
Lasso Regression,2.0329,5.9529,2.4387,0.0223,0.7389,0.7214,0.038,"(1, 2, 13)",wrist,3
Orthogonal Matching Pursuit,2.0412,6.0645,2.4612,0.0045,0.7424,0.7191,0.042,"(1, 2, 13)",wrist,3
AdaBoost Regressor,2.0695,5.7843,2.4032,0.0501,0.7701,0.8377,0.062,"(1, 2, 13)",wrist,3
Dummy Regressor,2.0697,6.1247,2.4732,-0.0051,0.7449,0.7457,0.044,"(1, 2, 13)",wrist,3
K Neighbors Regressor,2.1127,6.8196,2.6094,-0.1205,0.7672,0.7506,0.041,"(1, 2, 13)",wrist,3
Passive Aggressive Regressor,2.9595,14.8821,3.7471,-1.4026,1.0033,1.2116,0.04,"(1, 2, 13)",wrist,3
Least Angle Regression,5.1763,106.5574,6.5704,-15.9897,0.9654,2.401,0.04,"(1, 2, 13)",wrist,3
Extra Trees Regressor,1.5016,4.028,2.0054,0.3775,0.6027,0.492,0.097,"(1, 2, 15)",wrist,3
Light Gradient Boosting Machine,1.5344,4.2628,2.0634,0.3387,0.6117,0.5413,0.072,"(1, 2, 15)",wrist,3
Random Forest Regressor,1.5412,4.1882,2.0446,0.3515,0.6114,0.5128,0.19,"(1, 2, 15)",wrist,3
Gradient Boosting Regressor,1.6309,4.4206,2.0997,0.3169,0.635,0.5501,0.137,"(1, 2, 15)",wrist,3
Linear Regression,1.8471,5.4207,2.3257,0.1624,0.6883,0.6548,0.043,"(1, 2, 15)",wrist,3
Huber Regressor,1.9276,5.9747,2.4409,0.08,0.6991,0.6471,0.047,"(1, 2, 15)",wrist,3
Ridge Regression,1.9302,5.6978,2.3849,0.1203,0.7072,0.6823,0.043,"(1, 2, 15)",wrist,3
Bayesian Ridge,1.9493,5.7533,2.3965,0.1119,0.7121,0.6963,0.039,"(1, 2, 15)",wrist,3
Decision Tree Regressor,1.9695,8.2647,2.863,-0.2655,0.8196,0.7253,0.045,"(1, 2, 15)",wrist,3
Elastic Net,2.0541,6.1622,2.4804,0.0485,0.7408,0.7432,0.043,"(1, 2, 15)",wrist,3
Lasso Regression,2.0552,6.1651,2.4809,0.0482,0.7409,0.7427,0.04,"(1, 2, 15)",wrist,3
Lasso Least Angle Regression,2.0552,6.1651,2.4809,0.0482,0.7409,0.7427,0.044,"(1, 2, 15)",wrist,3
AdaBoost Regressor,2.0886,6.0594,2.4605,0.0603,0.7759,0.8587,0.068,"(1, 2, 15)",wrist,3
K Neighbors Regressor,2.1027,7.064,2.6544,-0.0956,0.7672,0.7444,0.045,"(1, 2, 15)",wrist,3
Orthogonal Matching Pursuit,2.1034,6.5021,2.5469,-0.0018,0.7537,0.7456,0.038,"(1, 2, 15)",wrist,3
Dummy Regressor,2.1259,6.571,2.5599,-0.0117,0.7563,0.7742,0.044,"(1, 2, 15)",wrist,3
Passive Aggressive Regressor,3.3801,20.2488,4.0948,-1.97,0.9946,1.4861,0.044,"(1, 2, 15)",wrist,3
Least Angle Regression,41.4885,22190.4449,53.0162,-3703.2925,1.3995,20.4259,0.045,"(1, 2, 15)",wrist,3
Extra Trees Regressor,1.464,3.7059,1.9214,0.4011,0.5954,0.4971,0.105,"(1, 2, 16)",wrist,3
Random Forest Regressor,1.508,3.8652,1.9639,0.3742,0.6049,0.5111,0.196,"(1, 2, 16)",wrist,3
Light Gradient Boosting Machine,1.5145,3.9674,1.9894,0.3577,0.6038,0.5329,0.069,"(1, 2, 16)",wrist,3
Gradient Boosting Regressor,1.6401,4.3547,2.0838,0.296,0.6388,0.5537,0.146,"(1, 2, 16)",wrist,3
Linear Regression,1.8417,5.2149,2.2806,0.1572,0.6928,0.6741,0.055,"(1, 2, 16)",wrist,3
Huber Regressor,1.8965,5.5792,2.3595,0.0974,0.6957,0.6465,0.048,"(1, 2, 16)",wrist,3
Ridge Regression,1.9049,5.3857,2.3178,0.1297,0.7046,0.6904,0.053,"(1, 2, 16)",wrist,3
Bayesian Ridge,1.9176,5.435,2.3288,0.1213,0.7094,0.6944,0.048,"(1, 2, 16)",wrist,3
Decision Tree Regressor,1.9503,7.8784,2.8038,-0.2825,0.8089,0.7305,0.046,"(1, 2, 16)",wrist,3
Elastic Net,2.0337,5.9132,2.4301,0.0429,0.7391,0.7321,0.047,"(1, 2, 16)",wrist,3
Lasso Regression,2.0339,5.9158,2.4306,0.0427,0.7391,0.7316,0.046,"(1, 2, 16)",wrist,3
Lasso Least Angle Regression,2.0339,5.9158,2.4306,0.0427,0.7391,0.7316,0.048,"(1, 2, 16)",wrist,3
Orthogonal Matching Pursuit,2.0473,6.1095,2.469,0.0132,0.7443,0.7291,0.046,"(1, 2, 16)",wrist,3
AdaBoost Regressor,2.0548,5.7236,2.3906,0.0731,0.766,0.8344,0.069,"(1, 2, 16)",wrist,3
K Neighbors Regressor,2.0745,6.6299,2.5723,-0.0725,0.7562,0.7343,0.045,"(1, 2, 16)",wrist,3
Dummy Regressor,2.0916,6.2093,2.4894,-0.0032,0.7498,0.7672,0.048,"(1, 2, 16)",wrist,3
Passive Aggressive Regressor,3.1667,18.3624,3.9636,-1.9841,0.9774,1.3367,0.047,"(1, 2, 16)",wrist,3
Least Angle Regression,157.9492,373647.3616,201.78,-59203.4672,1.6271,85.2593,0.042,"(1, 2, 16)",wrist,3
Extra Trees Regressor,1.5542,4.1953,2.0375,0.3712,0.6093,0.51,0.103,"(1, 2, 17)",wrist,3
Random Forest Regressor,1.6088,4.3824,2.0829,0.3438,0.6216,0.5323,0.211,"(1, 2, 17)",wrist,3
Light Gradient Boosting Machine,1.6269,4.5819,2.1251,0.3161,0.6221,0.5615,0.076,"(1, 2, 17)",wrist,3
Gradient Boosting Regressor,1.7135,4.7598,2.1711,0.2867,0.6434,0.5817,0.155,"(1, 2, 17)",wrist,3
Linear Regression,1.9016,5.5656,2.3512,0.1633,0.6932,0.6817,0.051,"(1, 2, 17)",wrist,3
Bayesian Ridge,1.9794,5.8135,2.4049,0.1255,0.7102,0.7018,0.048,"(1, 2, 17)",wrist,3
Ridge Regression,2.0013,5.8587,2.4132,0.12,0.716,0.7142,0.048,"(1, 2, 17)",wrist,3
Huber Regressor,2.0132,6.2193,2.4873,0.0645,0.7157,0.6757,0.054,"(1, 2, 17)",wrist,3
Elastic Net,2.1385,6.4031,2.5253,0.0361,0.752,0.767,0.044,"(1, 2, 17)",wrist,3
Lasso Least Angle Regression,2.1395,6.4061,2.526,0.0356,0.7522,0.7668,0.05,"(1, 2, 17)",wrist,3
Lasso Regression,2.1395,6.4061,2.526,0.0356,0.7522,0.7668,0.053,"(1, 2, 17)",wrist,3
Decision Tree Regressor,2.1511,9.1522,3.0167,-0.3829,0.8539,0.7974,0.046,"(1, 2, 17)",wrist,3
Orthogonal Matching Pursuit,2.1725,6.6125,2.5674,0.0036,0.76,0.771,0.051,"(1, 2, 17)",wrist,3
K Neighbors Regressor,2.1752,7.1805,2.675,-0.0839,0.769,0.7719,0.05,"(1, 2, 17)",wrist,3
Dummy Regressor,2.1778,6.66,2.5768,-0.0038,0.7616,0.7854,0.049,"(1, 2, 17)",wrist,3
AdaBoost Regressor,2.1858,6.3591,2.5192,0.0383,0.7857,0.889,0.067,"(1, 2, 17)",wrist,3
Least Angle Regression,2.4712,11.0123,3.1966,-0.6602,0.7834,0.9997,0.045,"(1, 2, 17)",wrist,3
Passive Aggressive Regressor,2.9297,13.8083,3.6197,-1.1037,0.937,1.0892,0.054,"(1, 2, 17)",wrist,3
Extra Trees Regressor,1.4804,3.844,1.954,0.3469,0.6043,0.4555,0.116,"(1, 3, 4)",wrist,3
Light Gradient Boosting Machine,1.5223,4.1161,2.0237,0.3004,0.6146,0.4928,0.079,"(1, 3, 4)",wrist,3
Random Forest Regressor,1.53,4.0445,2.0038,0.3133,0.6194,0.4736,0.246,"(1, 3, 4)",wrist,3
Gradient Boosting Regressor,1.6458,4.3803,2.0848,0.2567,0.6417,0.5378,0.153,"(1, 3, 4)",wrist,3
Linear Regression,1.8433,5.3003,2.2977,0.1025,0.6933,0.6304,0.054,"(1, 3, 4)",wrist,3
Ridge Regression,1.8993,5.4637,2.333,0.0759,0.7105,0.6448,0.047,"(1, 3, 4)",wrist,3
Bayesian Ridge,1.9196,5.5325,2.348,0.064,0.7166,0.6513,0.055,"(1, 3, 4)",wrist,3
Huber Regressor,1.9208,5.7386,2.3897,0.0311,0.7058,0.6163,0.059,"(1, 3, 4)",wrist,3
Lasso Least Angle Regression,1.9919,5.8059,2.4068,0.0168,0.7385,0.6644,0.058,"(1, 3, 4)",wrist,3
Lasso Regression,1.9919,5.8059,2.4068,0.0168,0.7385,0.6644,0.052,"(1, 3, 4)",wrist,3
