Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Gradient Boosting Regressor,1.1626,2.3851,1.5431,0.5421,0.5224,0.3621,3.813,"(1, 3, 6)"
Random Forest Regressor,0.9379,1.8275,1.3481,0.6857,0.4532,0.2734,4.014,"(1, 3, 8)"
Decision Tree Regressor,0.9836,3.0756,1.7388,0.4711,0.5443,0.3545,3.41,"(1, 3, 8)"
Gradient Boosting Regressor,1.2599,2.7623,1.6579,0.5261,0.5474,0.379,3.831,"(1, 3, 8)"
Random Forest Regressor,0.8716,1.6898,1.2913,0.6981,0.4263,0.2781,4.022,"(1, 3, 9)"
Decision Tree Regressor,1.0255,3.3953,1.835,0.3936,0.562,0.3716,3.424,"(1, 3, 9)"
Gradient Boosting Regressor,1.1403,2.4385,1.5533,0.5666,0.5106,0.3685,3.763,"(1, 3, 9)"
Decision Tree Regressor,1.0093,3.7298,1.923,0.3781,0.5744,0.3298,3.424,"(1, 3, 10)"
Random Forest Regressor,1.0283,2.0743,1.4391,0.655,0.4784,0.2888,4.238,"(1, 3, 10)"
Gradient Boosting Regressor,1.3112,3.036,1.7406,0.496,0.5629,0.401,3.778,"(1, 3, 10)"
Random Forest Regressor,0.871,1.6461,1.2788,0.7141,0.4274,0.2818,3.965,"(1, 3, 12)"
Decision Tree Regressor,0.9236,3.0264,1.7328,0.4696,0.5429,0.3655,4.224,"(1, 3, 12)"
Gradient Boosting Regressor,1.2166,2.6321,1.6175,0.5444,0.5384,0.3953,5738.27,"(1, 3, 12)"
Random Forest Regressor,0.8708,1.5975,1.2574,0.7036,0.4303,0.2683,3.725,"(1, 3, 13)"
Decision Tree Regressor,0.8826,2.8598,1.6749,0.4641,0.5351,0.3171,3.638,"(1, 3, 13)"
Gradient Boosting Regressor,1.153,2.3743,1.537,0.5571,0.5176,0.3696,3.871,"(1, 3, 13)"
Random Forest Regressor,0.8639,1.6719,1.2829,0.7115,0.44,0.25,4.102,"(1, 3, 15)"
Decision Tree Regressor,0.8648,2.7951,1.6453,0.5126,0.5285,0.3021,3.443,"(1, 3, 15)"
Gradient Boosting Regressor,1.1346,2.3672,1.5309,0.5905,0.5262,0.3352,4.062,"(1, 3, 15)"
Random Forest Regressor,0.7906,1.3921,1.1759,0.7394,0.4074,0.2447,3.727,"(1, 3, 16)"
Decision Tree Regressor,0.8988,2.861,1.6796,0.4635,0.552,0.3267,3.447,"(1, 3, 16)"
Gradient Boosting Regressor,1.1532,2.3362,1.5254,0.5644,0.5266,0.3548,3.794,"(1, 3, 16)"
Random Forest Regressor,0.8824,1.648,1.2829,0.7184,0.4396,0.2674,4.059,"(1, 3, 17)"
Decision Tree Regressor,0.9527,3.1922,1.7711,0.4449,0.5397,0.3558,3.449,"(1, 3, 17)"
Gradient Boosting Regressor,1.1988,2.5121,1.5831,0.5715,0.537,0.371,3.796,"(1, 3, 17)"
Decision Tree Regressor,0.9668,3.0594,1.7445,0.5107,0.5601,0.3064,3.402,"(1, 4, 5)"
Random Forest Regressor,1.0195,1.9583,1.3946,0.6897,0.4673,0.2818,3.94,"(1, 4, 5)"
Gradient Boosting Regressor,1.3357,3.0598,1.7462,0.5153,0.5535,0.3946,3.9,"(1, 4, 5)"
Random Forest Regressor,0.8603,1.5097,1.223,0.7466,0.4242,0.2609,4.041,"(1, 4, 6)"
Decision Tree Regressor,0.8904,2.6301,1.611,0.5563,0.5021,0.3338,3.571,"(1, 4, 6)"
Gradient Boosting Regressor,1.2453,2.5989,1.6086,0.5626,0.5386,0.3886,3.916,"(1, 4, 6)"
Random Forest Regressor,1.0348,1.9951,1.4062,0.6882,0.4745,0.2993,3.917,"(1, 4, 8)"
Decision Tree Regressor,1.0877,3.6571,1.8964,0.4225,0.5811,0.371,3.503,"(1, 4, 8)"
Gradient Boosting Regressor,1.3302,2.9123,1.7017,0.5441,0.5578,0.412,3.875,"(1, 4, 8)"
Random Forest Regressor,0.9566,1.9399,1.3871,0.6956,0.4553,0.2727,4.026,"(1, 4, 9)"
Decision Tree Regressor,1.1452,3.9963,1.9916,0.3653,0.5797,0.3868,3.47,"(1, 4, 9)"
Gradient Boosting Regressor,1.2285,2.7225,1.6472,0.5727,0.5295,0.3717,3.816,"(1, 4, 9)"
Random Forest Regressor,1.1096,2.346,1.5275,0.646,0.4971,0.3115,3.965,"(1, 4, 10)"
Decision Tree Regressor,1.25,4.534,2.113,0.3107,0.6408,0.4092,3.495,"(1, 4, 10)"
Gradient Boosting Regressor,1.4006,3.3653,1.8306,0.4935,0.5735,0.414,3.822,"(1, 4, 10)"
Random Forest Regressor,0.9272,1.8736,1.3607,0.7208,0.4466,0.2698,3.872,"(1, 4, 12)"
Decision Tree Regressor,1.0267,3.6147,1.88,0.46,0.5548,0.3459,3.482,"(1, 4, 12)"
Gradient Boosting Regressor,1.2871,2.9303,1.7091,0.5601,0.5566,0.3946,3.838,"(1, 4, 12)"
Decision Tree Regressor,0.867,2.7846,1.6596,0.5597,0.5054,0.337,3.484,"(1, 4, 13)"
Random Forest Regressor,0.8885,1.6552,1.2765,0.7441,0.4317,0.2811,4.052,"(1, 4, 13)"
Gradient Boosting Regressor,1.2434,2.6806,1.6293,0.5841,0.5356,0.4053,3.858,"(1, 4, 13)"
Decision Tree Regressor,0.8959,3.0787,1.729,0.5093,0.5268,0.3006,3.512,"(1, 4, 15)"
Random Forest Regressor,0.9628,1.9148,1.3797,0.7022,0.4648,0.2698,3.75,"(1, 4, 15)"
Gradient Boosting Regressor,1.2147,2.6872,1.6364,0.5817,0.5359,0.3572,3.848,"(1, 4, 15)"
Random Forest Regressor,0.8542,1.5293,1.2271,0.7597,0.417,0.253,3.809,"(1, 4, 16)"
Decision Tree Regressor,0.8886,2.8074,1.6483,0.5646,0.5048,0.3142,3.489,"(1, 4, 16)"
Gradient Boosting Regressor,1.2079,2.5156,1.5792,0.6027,0.5228,0.3677,3.881,"(1, 4, 16)"
Random Forest Regressor,0.9619,1.9107,1.3719,0.707,0.4637,0.263,4.12,"(1, 4, 17)"
Decision Tree Regressor,0.9924,3.282,1.7803,0.4972,0.5478,0.3376,3.51,"(1, 4, 17)"
Gradient Boosting Regressor,1.276,2.7797,1.6631,0.5722,0.5476,0.3666,3.888,"(1, 4, 17)"
Random Forest Regressor,0.9536,1.7423,1.3183,0.6888,0.4527,0.2825,3.978,"(1, 5, 6)"
Decision Tree Regressor,1.1329,3.6669,1.907,0.3441,0.5933,0.4,3.511,"(1, 5, 6)"
Gradient Boosting Regressor,1.2911,2.8126,1.6741,0.4999,0.5457,0.3983,3.899,"(1, 5, 6)"
Random Forest Regressor,1.0843,2.1446,1.46,0.649,0.4898,0.3106,4.188,"(1, 5, 8)"
Decision Tree Regressor,1.2398,4.2014,2.0457,0.3069,0.6121,0.4279,3.504,"(1, 5, 8)"
Gradient Boosting Regressor,1.3642,3.098,1.7567,0.4906,0.5617,0.4078,3.876,"(1, 5, 8)"
Decision Tree Regressor,0.9384,2.8717,1.6816,0.5175,0.5337,0.3239,3.553,"(1, 5, 9)"
Random Forest Regressor,0.9629,1.8496,1.346,0.6893,0.4545,0.2752,3.978,"(1, 5, 9)"
Gradient Boosting Regressor,1.2529,2.734,1.6445,0.5371,0.5323,0.3849,3.875,"(1, 5, 9)"
Decision Tree Regressor,1.1678,4.0631,1.9977,0.3826,0.6158,0.3591,3.544,"(1, 5, 10)"
Random Forest Regressor,1.2179,2.7061,1.6415,0.5893,0.5183,0.3303,4.22,"(1, 5, 10)"
Gradient Boosting Regressor,1.4014,3.2856,1.8108,0.5004,0.5615,0.4068,3.873,"(1, 5, 10)"
Random Forest Regressor,1.1182,2.3818,1.5414,0.6394,0.4888,0.3235,4.182,"(1, 5, 12)"
Decision Tree Regressor,1.2913,4.7647,2.175,0.2719,0.6405,0.4337,3.525,"(1, 5, 12)"
Gradient Boosting Regressor,1.3458,3.0741,1.7509,0.5351,0.5518,0.4197,3.896,"(1, 5, 12)"
Random Forest Regressor,0.9553,1.773,1.3248,0.7026,0.4509,0.2798,3.947,"(1, 5, 13)"
Decision Tree Regressor,1.131,4.0663,2.0048,0.3207,0.6139,0.3725,3.542,"(1, 5, 13)"
Gradient Boosting Regressor,1.2242,2.5765,1.5969,0.567,0.525,0.3839,3.895,"(1, 5, 13)"
Random Forest Regressor,1.0312,2.0533,1.4298,0.6572,0.4776,0.2805,4.089,"(1, 5, 15)"
Decision Tree Regressor,1.0632,3.5211,1.8622,0.4069,0.5782,0.3398,3.558,"(1, 5, 15)"
Gradient Boosting Regressor,1.2745,2.8672,1.6897,0.5218,0.5397,0.37,3.969,"(1, 5, 15)"
Random Forest Regressor,0.9883,1.8662,1.3623,0.6848,0.4589,0.2829,4.248,"(1, 5, 16)"
Decision Tree Regressor,1.1107,3.7156,1.9167,0.3653,0.5825,0.3917,3.562,"(1, 5, 16)"
Gradient Boosting Regressor,1.2516,2.6799,1.6322,0.548,0.53,0.3859,3.945,"(1, 5, 16)"
Random Forest Regressor,1.0337,2.071,1.4325,0.6734,0.4736,0.2934,4.133,"(1, 5, 17)"
Decision Tree Regressor,1.0837,3.6831,1.9074,0.4165,0.5852,0.3517,3.613,"(1, 5, 17)"
Gradient Boosting Regressor,1.3188,2.9199,1.704,0.5393,0.5487,0.3988,3.944,"(1, 5, 17)"
Random Forest Regressor,0.9059,1.6817,1.2913,0.724,0.4334,0.2765,4.033,"(1, 6, 8)"
Decision Tree Regressor,1.0878,3.6431,1.9023,0.3893,0.5695,0.3831,3.577,"(1, 6, 8)"
Gradient Boosting Regressor,1.2754,2.7429,1.6521,0.5496,0.548,0.399,3.971,"(1, 6, 8)"
Random Forest Regressor,0.8615,1.5434,1.2388,0.724,0.42,0.2778,4.236,"(1, 6, 9)"
Decision Tree Regressor,0.9563,2.958,1.709,0.4697,0.5334,0.349,3.612,"(1, 6, 9)"
Gradient Boosting Regressor,1.1524,2.3282,1.5236,0.5821,0.5136,0.3747,3.945,"(1, 6, 9)"
Random Forest Regressor,0.92,1.7311,1.3131,0.719,0.4437,0.2718,4.231,"(1, 6, 10)"
Decision Tree Regressor,0.9724,3.3019,1.8125,0.4632,0.5381,0.3277,3.691,"(1, 6, 10)"
Gradient Boosting Regressor,1.2606,2.7006,1.6416,0.5607,0.5359,0.3946,3.959,"(1, 6, 10)"
Random Forest Regressor,0.885,1.6662,1.2874,0.7281,0.4329,0.2762,4.248,"(1, 6, 12)"
Decision Tree Regressor,1.0503,3.5155,1.86,0.4311,0.5507,0.3787,3.624,"(1, 6, 12)"
Gradient Boosting Regressor,1.225,2.6463,1.625,0.5669,0.5389,0.3905,3.989,"(1, 6, 12)"
Random Forest Regressor,0.7851,1.2938,1.133,0.7641,0.3917,0.2662,4.23,"(1, 6, 13)"
Decision Tree Regressor,0.8538,2.5272,1.5761,0.5433,0.502,0.343,3.619,"(1, 6, 13)"
Gradient Boosting Regressor,1.1171,2.1538,1.466,0.6072,0.4954,0.3902,4.008,"(1, 6, 13)"
Random Forest Regressor,0.8624,1.5799,1.2515,0.7264,0.4269,0.2556,4.075,"(1, 6, 15)"
Decision Tree Regressor,0.9448,2.9855,1.7135,0.4789,0.5327,0.3285,3.606,"(1, 6, 15)"
Gradient Boosting Regressor,1.1432,2.2837,1.509,0.6028,0.5031,0.3767,3.968,"(1, 6, 15)"
Random Forest Regressor,0.7461,1.1769,1.0795,0.7917,0.3872,0.2342,4.279,"(1, 6, 16)"
Decision Tree Regressor,0.8377,2.3605,1.5294,0.5793,0.4971,0.3117,3.636,"(1, 6, 16)"
Gradient Boosting Regressor,1.1247,2.1294,1.4558,0.6208,0.4999,0.3695,4.012,"(1, 6, 16)"
Random Forest Regressor,0.8532,1.5245,1.2305,0.7476,0.421,0.2597,4.331,"(1, 6, 17)"
Decision Tree Regressor,1.0284,3.5827,1.8856,0.4069,0.5639,0.3719,3.646,"(1, 6, 17)"
Gradient Boosting Regressor,1.1897,2.3989,1.5451,0.6028,0.525,0.3714,4.156,"(1, 6, 17)"
Random Forest Regressor,0.9541,1.8602,1.3561,0.6911,0.4543,0.2835,4.282,"(1, 8, 9)"
Decision Tree Regressor,1.0411,3.5405,1.8632,0.4112,0.5768,0.3687,3.659,"(1, 8, 9)"
Gradient Boosting Regressor,1.262,2.7454,1.6513,0.5432,0.5419,0.388,4.005,"(1, 8, 9)"
Random Forest Regressor,1.1466,2.3841,1.539,0.6373,0.511,0.3187,4.222,"(1, 8, 10)"
Decision Tree Regressor,1.2527,4.7343,2.1255,0.2858,0.6368,0.3815,3.657,"(1, 8, 10)"
Gradient Boosting Regressor,1.397,3.2523,1.7968,0.5049,0.5772,0.4123,4.006,"(1, 8, 10)"
Random Forest Regressor,1.0391,2.0788,1.4387,0.6848,0.4803,0.3049,4.434,"(1, 8, 12)"
Decision Tree Regressor,1.1831,4.1273,2.011,0.375,0.6114,0.4187,3.698,"(1, 8, 12)"
Gradient Boosting Regressor,1.3275,2.9762,1.7242,0.5467,0.5625,0.4128,4.183,"(1, 8, 12)"
Random Forest Regressor,0.8734,1.5292,1.2334,0.7456,0.4203,0.2777,4.459,"(1, 8, 13)"
Decision Tree Regressor,0.9323,2.9966,1.7095,0.5,0.516,0.3428,3.839,"(1, 8, 13)"
Gradient Boosting Regressor,1.1968,2.4793,1.5713,0.5879,0.5217,0.392,4.202,"(1, 8, 13)"
Random Forest Regressor,1.0168,2.0405,1.4249,0.6727,0.4713,0.2897,4.235,"(1, 8, 15)"
Gradient Boosting Regressor,1.2435,2.6609,1.6283,0.5715,0.5389,0.3747,4.495,"(1, 8, 15)"
Decision Tree Regressor,1.3009,4.6151,2.139,0.2614,0.6373,0.4482,3.856,"(1, 8, 15)"
Random Forest Regressor,0.9978,1.8805,1.3671,0.6898,0.4616,0.3076,4.549,"(1, 8, 16)"
Gradient Boosting Regressor,1.2107,2.4974,1.5763,0.588,0.5214,0.3924,4.23,"(1, 8, 16)"
Decision Tree Regressor,1.3035,4.7521,2.1717,0.2072,0.6517,0.4519,3.847,"(1, 8, 16)"
Decision Tree Regressor,0.9067,2.9343,1.6956,0.5423,0.5422,0.2812,3.749,"(1, 8, 17)"
Random Forest Regressor,0.9559,1.8077,1.342,0.7214,0.4621,0.2712,4.949,"(1, 8, 17)"
Gradient Boosting Regressor,1.3067,2.8539,1.686,0.5607,0.5602,0.3873,4.241,"(1, 8, 17)"
Random Forest Regressor,1.0155,2.1166,1.4495,0.6657,0.4703,0.2963,4.477,"(1, 9, 10)"
Decision Tree Regressor,1.2269,4.4297,2.0909,0.2992,0.6336,0.4248,3.814,"(1, 9, 10)"
Gradient Boosting Regressor,1.2564,2.8947,1.695,0.5419,0.5378,0.3904,4.12,"(1, 9, 10)"
Random Forest Regressor,0.8985,1.8159,1.3409,0.7102,0.4301,0.2733,4.316,"(1, 9, 12)"
Decision Tree Regressor,1.0292,3.5232,1.8619,0.4372,0.549,0.3486,3.765,"(1, 9, 12)"
Gradient Boosting Regressor,1.1891,2.5836,1.6013,0.5881,0.5165,0.3902,4.116,"(1, 9, 12)"
Random Forest Regressor,0.835,1.4992,1.2158,0.7321,0.4142,0.2685,4.451,"(1, 9, 13)"
Decision Tree Regressor,0.9326,3.0777,1.7352,0.4458,0.5325,0.3509,3.661,"(1, 9, 13)"
Gradient Boosting Regressor,1.1329,2.2583,1.4984,0.5932,0.5065,0.3884,4.155,"(1, 9, 13)"
Random Forest Regressor,0.8621,1.6052,1.2543,0.7464,0.4273,0.2524,4.365,"(1, 9, 15)"
Decision Tree Regressor,0.9655,3.1662,1.769,0.498,0.5544,0.3158,3.813,"(1, 9, 15)"
Gradient Boosting Regressor,1.1394,2.4615,1.5608,0.61,0.5037,0.3567,4.074,"(1, 9, 15)"
Random Forest Regressor,0.857,1.5585,1.2412,0.7386,0.4236,0.2567,4.426,"(1, 9, 16)"
Decision Tree Regressor,0.8999,2.843,1.6696,0.5202,0.5279,0.3154,4.036,"(1, 9, 16)"
Gradient Boosting Regressor,1.1347,2.2896,1.5088,0.6149,0.5028,0.3741,4.361,"(1, 9, 16)"
Random Forest Regressor,0.9183,1.786,1.3298,0.7114,0.4397,0.2708,4.589,"(1, 9, 17)"
Decision Tree Regressor,1.017,3.492,1.8611,0.4385,0.5376,0.3402,4.026,"(1, 9, 17)"
Gradient Boosting Regressor,1.2104,2.5854,1.6042,0.5835,0.5195,0.3837,4.397,"(1, 9, 17)"
Decision Tree Regressor,0.9362,3.0809,1.7407,0.5394,0.5311,0.307,3.995,"(1, 10, 12)"
Random Forest Regressor,0.987,1.9427,1.3886,0.7096,0.4622,0.2882,4.468,"(1, 10, 12)"
Gradient Boosting Regressor,1.3035,2.9022,1.7021,0.5641,0.5451,0.4036,4.548,"(1, 10, 12)"
Decision Tree Regressor,0.8477,2.7122,1.63,0.5828,0.5132,0.2991,3.834,"(1, 10, 13)"
Random Forest Regressor,0.8679,1.555,1.2439,0.7601,0.4327,0.2578,4.768,"(1, 10, 13)"
Gradient Boosting Regressor,1.2666,2.767,1.661,0.5745,0.5455,0.3893,4.499,"(1, 10, 13)"
Decision Tree Regressor,0.8283,2.7441,1.6468,0.5839,0.5122,0.2706,3.892,"(1, 10, 15)"
Random Forest Regressor,0.9443,1.8749,1.3652,0.7169,0.4549,0.2512,4.205,"(1, 10, 15)"
Gradient Boosting Regressor,1.2293,2.7132,1.6439,0.5888,0.5343,0.3528,4.305,"(1, 10, 15)"
Random Forest Regressor,1.0317,2.0365,1.4212,0.6818,0.4669,0.3027,4.318,"(1, 10, 16)"
Gradient Boosting Regressor,1.2368,2.6553,1.6244,0.5856,0.523,0.3873,4.275,"(1, 10, 16)"
Decision Tree Regressor,1.3355,4.7508,2.17,0.2423,0.6479,0.4563,3.849,"(1, 10, 16)"
Random Forest Regressor,1.079,2.2616,1.5007,0.6713,0.4837,0.3086,4.369,"(1, 10, 17)"
Decision Tree Regressor,1.2101,4.6838,2.1446,0.3157,0.6331,0.3838,4.358,"(1, 10, 17)"
Gradient Boosting Regressor,1.3485,3.0832,1.753,0.5531,0.5583,0.4059,4.265,"(1, 10, 17)"
Random Forest Regressor,0.849,1.6007,1.261,0.7538,0.4201,0.259,4.597,"(1, 12, 13)"
Decision Tree Regressor,0.8951,2.9496,1.7052,0.5392,0.5138,0.3133,3.853,"(1, 12, 13)"
Gradient Boosting Regressor,1.1969,2.5675,1.5977,0.6063,0.5213,0.3807,4.262,"(1, 12, 13)"
Random Forest Regressor,0.8925,1.7032,1.3026,0.7389,0.4425,0.2577,4.436,"(1, 12, 15)"
Decision Tree Regressor,1.0114,3.418,1.8381,0.4715,0.5588,0.3439,3.87,"(1, 12, 15)"
Gradient Boosting Regressor,1.2225,2.6853,1.6379,0.5865,0.538,0.3888,4.285,"(1, 12, 15)"
Random Forest Regressor,0.8294,1.4851,1.2148,0.7629,0.4166,0.2533,4.49,"(1, 12, 16)"
Decision Tree Regressor,0.8631,2.6535,1.6235,0.5774,0.5123,0.3112,3.897,"(1, 12, 16)"
Gradient Boosting Regressor,1.2067,2.5512,1.594,0.5934,0.5299,0.3913,4.275,"(1, 12, 16)"
Random Forest Regressor,0.8824,1.7028,1.3025,0.7564,0.442,0.2525,4.123,"(1, 12, 17)"
Decision Tree Regressor,0.9849,3.3112,1.7926,0.5253,0.5551,0.3463,3.78,"(1, 12, 17)"
Gradient Boosting Regressor,1.2652,2.7879,1.6675,0.6004,0.5546,0.3781,4.183,"(1, 12, 17)"
Random Forest Regressor,0.8263,1.4505,1.2006,0.7565,0.4109,0.2614,4.551,"(1, 13, 15)"
Decision Tree Regressor,0.8383,2.4618,1.5542,0.5805,0.4987,0.3134,3.954,"(1, 13, 15)"
Gradient Boosting Regressor,1.1076,2.2288,1.4903,0.6252,0.4949,0.3695,4.194,"(1, 13, 15)"
Decision Tree Regressor,0.7505,2.046,1.4208,0.6495,0.4701,0.2864,3.774,"(1, 13, 16)"
Random Forest Regressor,0.7639,1.2605,1.1182,0.7845,0.392,0.2493,4.56,"(1, 13, 16)"
Gradient Boosting Regressor,1.1071,2.1606,1.4682,0.631,0.4968,0.3683,4.26,"(1, 13, 16)"
Random Forest Regressor,0.8547,1.4898,1.2176,0.7572,0.4162,0.2647,4.32,"(1, 13, 17)"
Decision Tree Regressor,1.0035,3.317,1.8065,0.4608,0.5696,0.3543,3.85,"(1, 13, 17)"
Gradient Boosting Regressor,1.1639,2.3375,1.5263,0.62,0.5146,0.3796,4.219,"(1, 13, 17)"
Random Forest Regressor,0.9313,1.7222,1.3098,0.7167,0.4497,0.2719,4.483,"(1, 15, 16)"
Decision Tree Regressor,1.0534,3.4437,1.8436,0.4327,0.5979,0.3602,4.095,"(1, 15, 16)"
Gradient Boosting Regressor,1.1357,2.2888,1.511,0.6229,0.5068,0.364,4.494,"(1, 15, 16)"
Random Forest Regressor,0.8897,1.6867,1.2938,0.7394,0.4353,0.2451,4.89,"(1, 15, 17)"
Decision Tree Regressor,1.0427,3.5493,1.8554,0.4552,0.5685,0.3263,4.257,"(1, 15, 17)"
Gradient Boosting Regressor,1.1557,2.4105,1.5461,0.6268,0.5115,0.3497,4.618,"(1, 15, 17)"
Random Forest Regressor,0.8161,1.3813,1.1697,0.7828,0.4101,0.242,4.842,"(1, 16, 17)"
Decision Tree Regressor,0.8178,2.4322,1.5496,0.6189,0.4805,0.3032,4.388,"(1, 16, 17)"
Gradient Boosting Regressor,1.1737,2.3557,1.5314,0.6292,0.5132,0.371,4.808,"(1, 16, 17)"
Decision Tree Regressor,0.8169,2.5909,1.5912,0.5401,0.5069,0.3056,4.215,"(2, 3, 4)"
Random Forest Regressor,0.8798,1.6939,1.2948,0.6987,0.4483,0.2738,4.902,"(2, 3, 4)"
Gradient Boosting Regressor,1.1814,2.6094,1.6106,0.5342,0.5382,0.3818,4.615,"(2, 3, 4)"
Decision Tree Regressor,0.8538,2.7131,1.6411,0.5024,0.5219,0.3151,4.281,"(2, 3, 5)"
Random Forest Regressor,0.8593,1.5786,1.2532,0.7103,0.4324,0.2722,4.884,"(2, 3, 5)"
Gradient Boosting Regressor,1.2035,2.5648,1.5982,0.5296,0.5343,0.3997,4.701,"(2, 3, 5)"
Random Forest Regressor,0.7916,1.4087,1.1828,0.7105,0.4118,0.2635,4.977,"(2, 3, 6)"
Decision Tree Regressor,0.8378,2.6136,1.6116,0.4612,0.508,0.3354,4.347,"(2, 3, 6)"
Gradient Boosting Regressor,1.0864,2.1618,1.4663,0.5553,0.5114,0.367,4.717,"(2, 3, 6)"
Random Forest Regressor,0.8702,1.6735,1.292,0.694,0.4424,0.2727,5.171,"(2, 3, 8)"
Decision Tree Regressor,0.9437,3.2827,1.8017,0.4003,0.5446,0.335,4.297,"(2, 3, 8)"
